mode,horizon,level,eff_missing_pct,best_two_stage,best_end_to_end,gap
miss,6,0,2.9,50.43,49.71,0.71
miss,6,5,7.7,50.47,51.4,-0.92
miss,6,10,12.6,50.45,52.92,-2.47
miss,6,20,22.3,50.74,55.45,-4.71
miss,6,30,32.0,50.05,54.62,-4.57
miss,6,40,41.7,50.61,58.55,-7.94
miss,6,50,51.4,51.76,62.91,-11.15
miss,6,60,61.2,52.44,65.41,-12.97
miss,6,70,70.9,54.36,69.13,-14.77
miss,24,0,2.9,76.42,76.5,-0.09
miss,24,5,7.7,76.48,77.04,-0.56
miss,24,10,12.6,76.5,77.11,-0.61
miss,24,20,22.3,76.4,77.63,-1.23
miss,24,30,32.0,76.45,77.99,-1.55
miss,24,40,41.7,76.65,79.34,-2.69
miss,24,50,51.4,76.74,80.38,-3.64
miss,24,60,61.2,76.57,81.42,-4.85
miss,24,70,70.9,77.61,82.99,-5.38
miss,72,0,2.9,85.96,85.74,0.22
miss,72,5,7.7,86.03,85.7,0.33
miss,72,10,12.6,86.03,85.67,0.36
miss,72,20,22.3,85.97,85.44,0.53
miss,72,30,32.0,86.07,85.64,0.42
miss,72,40,41.7,86.01,85.61,0.4
miss,72,50,51.4,85.81,85.24,0.58
miss,72,60,61.2,85.87,85.48,0.39
miss,72,70,70.9,86.13,85.77,0.36
out,6,0,2.9,50.43,49.71,0.71
out,6,5,7.9,51.92,52.84,-0.91
out,6,10,12.8,53.11,53.72,-0.61
out,6,20,22.5,55.17,56.53,-1.35
out,6,30,32.2,58.69,60.74,-2.05
out,6,40,41.9,60.0,63.01,-3.01
out,6,50,51.6,63.74,68.03,-4.29
out,6,60,61.3,66.76,70.79,-4.03
out,6,70,71.0,69.51,73.82,-4.31
out,24,0,2.9,76.42,76.5,-0.09
out,24,5,7.9,76.68,77.3,-0.62
out,24,10,12.8,77.04,77.88,-0.84
out,24,20,22.5,76.95,78.09,-1.14
out,24,30,32.2,78.1,79.81,-1.71
out,24,40,41.9,77.74,80.3,-2.56
out,24,50,51.6,79.33,82.36,-3.04
out,24,60,61.3,80.97,83.96,-2.99
out,24,70,71.0,81.33,84.52,-3.18
out,72,0,2.9,85.96,85.74,0.22
out,72,5,7.9,85.99,85.71,0.27
out,72,10,12.8,86.01,85.75,0.26
out,72,20,22.5,85.7,85.55,0.15
out,72,30,32.2,85.58,85.69,-0.11
out,72,40,41.9,85.85,85.84,0.01
out,72,50,51.6,85.6,85.8,-0.2
out,72,60,61.3,85.48,86.07,-0.59
out,72,70,71.0,85.32,86.15,-0.83
