dataset,horizon,member,coef,intercept,alpha
Beijing,6,persistence,0.3176409648489586,-0.028943561719917923,2.154434690031882
Beijing,6,seasonal_naive,-0.050340353867007005,-0.028943561719917923,2.154434690031882
Beijing,6,dlinear_s42,-0.7985505071508707,-0.028943561719917923,2.154434690031882
Beijing,6,dlinear_s43,0.08486045419343458,-0.028943561719917923,2.154434690031882
Beijing,6,dlinear_s44,0.3158159592111321,-0.028943561719917923,2.154434690031882
Beijing,6,gru_d_s42,-0.1332378755293111,-0.028943561719917923,2.154434690031882
Beijing,6,gru_d_s43,-0.7607286338119643,-0.028943561719917923,2.154434690031882
Beijing,6,gru_d_s44,0.4318564902947277,-0.028943561719917923,2.154434690031882
Beijing,6,proposed_s42,-0.5645270508800723,-0.028943561719917923,2.154434690031882
Beijing,6,proposed_s43,0.26929664341487225,-0.028943561719917923,2.154434690031882
Beijing,6,proposed_s44,0.5413575327670468,-0.028943561719917923,2.154434690031882
Beijing,6,variant_B_s42,-0.07372554816692191,-0.028943561719917923,2.154434690031882
Beijing,6,variant_B_s43,0.22347937194972356,-0.028943561719917923,2.154434690031882
Beijing,6,variant_B_s44,0.04098185741627732,-0.028943561719917923,2.154434690031882
Beijing,6,proposed_md_s42,0.8982798077523095,-0.028943561719917923,2.154434690031882
Beijing,6,proposed_md_s43,0.2885851571244185,-0.028943561719917923,2.154434690031882
Beijing,6,proposed_md_s44,-0.2620213162743572,-0.028943561719917923,2.154434690031882
Beijing,24,persistence,0.012472787168335399,-0.023953360242164323,10.0
Beijing,24,seasonal_naive,0.23234381845912225,-0.023953360242164323,10.0
Beijing,24,dlinear_s42,0.09568960680621576,-0.023953360242164323,10.0
Beijing,24,dlinear_s43,-0.27236279307626265,-0.023953360242164323,10.0
Beijing,24,dlinear_s44,0.2895164495944079,-0.023953360242164323,10.0
Beijing,24,gru_d_s42,-0.4351276333598507,-0.023953360242164323,10.0
Beijing,24,gru_d_s43,0.424743367165304,-0.023953360242164323,10.0
Beijing,24,gru_d_s44,1.2206616857756496,-0.023953360242164323,10.0
Beijing,24,proposed_s42,-0.41125130973995555,-0.023953360242164323,10.0
Beijing,24,proposed_s43,-0.02064258326150467,-0.023953360242164323,10.0
Beijing,24,proposed_s44,-0.13957985652792804,-0.023953360242164323,10.0
Beijing,24,variant_B_s42,-0.372219522862417,-0.023953360242164323,10.0
Beijing,24,variant_B_s43,-0.44273985540222466,-0.023953360242164323,10.0
Beijing,24,variant_B_s44,0.0017610137300561107,-0.023953360242164323,10.0
Beijing,24,proposed_md_s42,0.3628824174355222,-0.023953360242164323,10.0
Beijing,24,proposed_md_s43,0.46373699076599295,-0.023953360242164323,10.0
Beijing,24,proposed_md_s44,-0.011224199942758552,-0.023953360242164323,10.0
Beijing,72,persistence,0.5947957973112424,-0.006072492756288406,0.21544346900318823
Beijing,72,seasonal_naive,-0.5082782866022426,-0.006072492756288406,0.21544346900318823
Beijing,72,dlinear_s42,-0.5058994876974829,-0.006072492756288406,0.21544346900318823
Beijing,72,dlinear_s43,0.7430682211251652,-0.006072492756288406,0.21544346900318823
Beijing,72,dlinear_s44,-0.4388507712547436,-0.006072492756288406,0.21544346900318823
Beijing,72,gru_d_s42,-2.0448429256573126,-0.006072492756288406,0.21544346900318823
Beijing,72,gru_d_s43,1.9440351157112987,-0.006072492756288406,0.21544346900318823
Beijing,72,gru_d_s44,1.6038378361927954,-0.006072492756288406,0.21544346900318823
Beijing,72,proposed_s42,4.610642682147219,-0.006072492756288406,0.21544346900318823
Beijing,72,proposed_s43,10.573533535651945,-0.006072492756288406,0.21544346900318823
Beijing,72,proposed_s44,-3.900558995200854,-0.006072492756288406,0.21544346900318823
Beijing,72,variant_B_s42,-4.589513754818695,-0.006072492756288406,0.21544346900318823
Beijing,72,variant_B_s43,-9.740657519466035,-0.006072492756288406,0.21544346900318823
Beijing,72,variant_B_s44,1.9845759258205868,-0.006072492756288406,0.21544346900318823
Beijing,72,proposed_md_s42,0.9243666213530466,-0.006072492756288406,0.21544346900318823
Beijing,72,proposed_md_s43,-1.4197875811497924,-0.006072492756288406,0.21544346900318823
Beijing,72,proposed_md_s44,1.0704393789142708,-0.006072492756288406,0.21544346900318823
