horizon,member,weight
6,persistence,0.05597246604582238
6,seasonal_naive,0.0
6,dlinear_s42,1.0747752251781556e-16
6,dlinear_s43,1.456711380820184e-16
6,dlinear_s44,0.0
6,gru_d_s42,0.0
6,gru_d_s43,0.0
6,gru_d_s44,0.0
6,proposed_s42,0.0
6,proposed_s43,8.558415552161968e-15
6,proposed_s44,0.186012696264399
6,variant_B_s42,4.48022724977993e-17
6,variant_B_s43,0.5715205733465084
6,variant_B_s44,3.149126619872822e-16
6,proposed_md_s42,0.18649426434326116
6,proposed_md_s43,0.0
6,proposed_md_s44,3.888834139962898e-18
24,persistence,0.0
24,seasonal_naive,0.22052707052705353
24,dlinear_s42,0.09776719804414924
24,dlinear_s43,4.329551018474925e-17
24,dlinear_s44,0.0
24,gru_d_s42,0.0
24,gru_d_s43,0.0
24,gru_d_s44,0.681705731428797
24,proposed_s42,6.673107089591757e-17
24,proposed_s43,0.0
24,proposed_s44,0.0
24,variant_B_s42,0.0
24,variant_B_s43,0.0
24,variant_B_s44,3.2782415187257937e-17
24,proposed_md_s42,0.0
24,proposed_md_s43,8.683075205069185e-20
24,proposed_md_s44,1.691706871451466e-17
72,persistence,0.19813321276883744
72,seasonal_naive,0.0
72,dlinear_s42,1.395397842141998e-16
72,dlinear_s43,0.07061554334041419
72,dlinear_s44,0.0
72,gru_d_s42,4.7063162252698656e-17
72,gru_d_s43,0.7312512438907482
72,gru_d_s44,0.0
72,proposed_s42,0.0
72,proposed_s43,5.75463596452731e-18
72,proposed_s44,0.0
72,variant_B_s42,7.10395944950341e-18
72,variant_B_s43,0.0
72,variant_B_s44,0.0
72,proposed_md_s42,2.696185280449243e-17
72,proposed_md_s43,0.0
72,proposed_md_s44,6.79791056379267e-17
