horizon,model,weight
6,persistence,0.038210175228522464
6,seasonal_naive,0.0
6,dlinear,8.765197523349984e-17
6,gru_d,3.879119730849076e-17
6,proposed,6.252567458944301e-16
6,variant_B,0.8371919776432888
6,proposed_md,0.12459784712818794
24,persistence,2.90342938023903e-17
24,seasonal_naive,0.24482889012110412
24,dlinear,0.06110804787786344
24,gru_d,0.6940630620010325
24,proposed,0.0
24,variant_B,0.0
24,proposed_md,4.9243581363016314e-17
72,persistence,0.201833968558768
72,seasonal_naive,1.2628625968851175e-16
72,dlinear,0.08251187617163357
72,gru_d,0.7156541552695983
72,proposed,0.0
72,variant_B,0.0
72,proposed_md,0.0
