model,seed,pollutant,horizon,RMSE,MAE,R2,sMAPE,n
persistence,,PM2.5,6,55.75723648071289,30.293554306030273,0.5347746388768146,43.150150299072266,4282
persistence,,PM2.5,24,90.0025634765625,60.59580993652344,-0.003081020127194245,77.30281066894531,4295
persistence,,PM2.5,72,113.96094512939453,80.3565444946289,-0.6138583718441164,93.02777862548828,4294
persistence,,PM10,6,75.39842224121094,42.75157165527344,0.3178548974723624,45.23106384277344,4295
persistence,,PM10,24,114.118408203125,74.50626373291016,-0.19242285253467384,70.19976043701172,4310
persistence,,PM10,72,134.11419677734375,93.86168670654297,-0.6472872079044958,82.97787475585938,4309
persistence,,NO2,6,28.737607955932617,19.7325496673584,0.20990197074270756,42.146942138671875,4083
persistence,,NO2,24,37.2398796081543,27.25238609313965,0.013838006391968416,54.84717559814453,4295
persistence,,NO2,72,43.20232391357422,32.605960845947266,-0.3442878013515849,62.782814025878906,4294
persistence,,O3,6,38.172054290771484,25.83139419555664,-0.7374757060518282,72.66020202636719,4211
persistence,,O3,24,41.24418258666992,29.78362464904785,0.02606159591094337,75.82831573486328,4238
persistence,,O3,72,44.703758239746094,32.603023529052734,-0.1462109779625289,80.90278625488281,4237
persistence,,CO,6,896.1087646484375,490.1840515136719,0.5239090957341539,38.378318786621094,4238
persistence,,CO,24,1220.76123046875,759.8827514648438,0.18579234578432569,57.41686248779297,4265
persistence,,CO,72,1551.1185302734375,983.0440673828125,-0.31942919492409927,68.72039031982422,4264
persistence,,SO2,6,10.063498497009277,5.280223846435547,0.3796856126747076,43.646854400634766,3414
persistence,,SO2,24,13.969011306762695,8.067873001098633,-0.05118406285620125,62.60480880737305,3453
persistence,,SO2,72,15.964898109436035,9.477213859558105,-0.4020111392671317,70.4788589477539,3452
seasonal_naive,,PM2.5,6,91.68717193603516,58.07379913330078,-0.2579924411680605,80.98741912841797,4282
seasonal_naive,,PM2.5,24,90.13627624511719,60.782772064208984,-0.006063668111534026,77.5780029296875,4295
seasonal_naive,,PM2.5,72,114.12468719482422,80.35072326660156,-0.6184993446935223,93.01978302001953,4294
seasonal_naive,,PM10,6,104.01072692871094,66.67776489257812,-0.2981011148890196,75.35965728759766,4295
seasonal_naive,,PM10,24,113.96247863769531,74.68213653564453,-0.18916644749672518,70.4992446899414,4310
seasonal_naive,,PM10,72,134.44021606445312,93.943603515625,-0.6553057959161466,82.86800384521484,4309
seasonal_naive,,NO2,6,34.976234436035156,26.274063110351562,-0.1703772227867264,60.76847457885742,4083
seasonal_naive,,NO2,24,37.2911262512207,27.292665481567383,0.011121912388459942,54.82365417480469,4295
seasonal_naive,,NO2,72,43.20703125,32.585933685302734,-0.3445809969657274,62.6177978515625,4294
seasonal_naive,,O3,6,35.30300521850586,25.247209548950195,-0.486110169187961,88.98737335205078,4211
seasonal_naive,,O3,24,40.67407989501953,29.625059127807617,0.05280022955652375,75.67884826660156,4238
seasonal_naive,,O3,72,43.85167694091797,32.30210494995117,-0.10293240936122783,80.49243927001953,4237
seasonal_naive,,CO,6,1245.020263671875,738.2727661132812,0.08098770642308295,59.51556396484375,4238
seasonal_naive,,CO,24,1218.0567626953125,759.8124389648438,0.18939588368171623,57.41047286987305,4265
seasonal_naive,,CO,72,1543.36474609375,977.9080810546875,-0.30627099346975917,68.37483215332031,4264
seasonal_naive,,SO2,6,14.820913314819336,7.109163284301758,-0.3454384167649318,57.48740005493164,3414
seasonal_naive,,SO2,24,13.932828903198242,8.003002166748047,-0.04574557396358547,61.603885650634766,3453
seasonal_naive,,SO2,72,15.886527061462402,9.332659721374512,-0.388280066400581,68.43851470947266,3452
