mode,model,horizon,0,10,30,50
miss,DLinear,6,52.15,57.38,61.99,70.91
miss,DLinear,24,81.04,83.17,84.95,88.38
miss,DLinear,72,89.85,91.97,92.99,94.31
miss,GRU-D,6,50.04,50.36,50.9,53.02
miss,GRU-D,24,75.57,75.67,75.77,76.39
miss,GRU-D,72,84.36,84.39,84.71,84.69
miss,PatchTST,6,58.05,61.88,71.11,79.11
miss,PatchTST,24,79.94,80.84,83.91,87.99
miss,PatchTST,72,87.46,87.41,87.58,88.2
miss,Proposed (MAT),6,49.71,53.12,56.69,66.04
miss,Proposed (MAT),24,76.5,77.84,80.25,84.72
miss,Proposed (MAT),72,86.04,87.37,90.2,92.76
miss,Proposed + miss-dropout,6,51.19,52.92,54.62,62.91
miss,Proposed + miss-dropout,24,76.7,77.11,77.99,80.38
miss,Proposed + miss-dropout,72,85.74,85.67,85.64,85.24
miss,Two-stage (KNN),6,50.61,51.33,51.47,56.35
miss,Two-stage (KNN),24,76.42,76.66,76.79,78.42
miss,Two-stage (KNN),72,85.96,86.03,86.07,85.81
miss,Two-stage (SAITS),6,50.43,50.45,50.05,51.76
miss,Two-stage (SAITS),24,76.42,76.5,76.45,76.74
miss,Two-stage (SAITS),72,87.38,87.34,87.23,86.66
out,DLinear,6,52.15,56.72,64.49,71.86
out,DLinear,24,81.04,82.17,84.63,85.89
out,DLinear,72,89.85,89.97,90.49,90.99
out,GRU-D,6,50.04,53.14,59.53,65.6
out,GRU-D,24,75.57,76.52,78.26,80.52
out,GRU-D,72,84.36,84.49,84.57,84.96
out,PatchTST,6,58.05,64.63,75.05,81.25
out,PatchTST,24,79.94,81.86,86.95,95.21
out,PatchTST,72,87.46,87.72,89.06,93.35
out,Proposed (MAT),6,49.71,53.72,60.74,68.18
out,Proposed (MAT),24,76.5,77.99,81.48,85.29
out,Proposed (MAT),72,86.04,87.85,90.84,93.91
out,Proposed + miss-dropout,6,51.19,54.77,61.18,68.03
out,Proposed + miss-dropout,24,76.7,77.88,79.81,82.36
out,Proposed + miss-dropout,72,85.74,85.75,85.69,85.8
out,Two-stage (KNN),6,50.61,54.91,61.77,69.2
out,Two-stage (KNN),24,76.42,77.92,80.18,82.85
out,Two-stage (KNN),72,85.96,86.01,85.58,85.6
out,Two-stage (SAITS),6,50.43,53.11,58.69,63.74
out,Two-stage (SAITS),24,76.42,77.04,78.1,79.33
out,Two-stage (SAITS),72,87.38,87.34,87.18,87.49
