mode,model,horizon,0,5,10,20,30,40,50,60,70
miss,DLinear,6,21.26,28.09,33.51,42.16,50.86,57.99,62.27,65.29,73.65
miss,DLinear,24,26.28,31.55,36.95,43.09,51.08,53.14,58.13,61.93,63.08
miss,DLinear,72,26.51,30.2,33.16,39.99,47.13,51.17,53.2,56.59,62.49
miss,GRU-D,6,22.43,22.72,23.45,24.04,24.78,25.49,26.4,26.58,27.21
miss,GRU-D,24,30.12,30.19,30.86,30.9,31.05,31.27,33.0,32.02,33.73
miss,GRU-D,72,32.66,32.88,34.11,34.59,35.24,35.77,37.19,38.57,38.84
miss,PatchTST,6,27.35,27.31,27.79,28.22,29.27,30.9,33.79,36.59,42.09
miss,PatchTST,24,31.89,32.67,33.79,35.48,39.49,43.53,50.5,56.96,67.18
miss,PatchTST,72,34.56,33.93,33.51,33.41,34.86,39.16,45.97,55.26,68.97
miss,Proposed (MAT),6,29.9,34.72,38.07,47.63,59.53,68.78,78.42,89.04,98.07
miss,Proposed (MAT),24,29.2,31.55,33.9,42.1,53.14,62.01,75.47,87.21,102.33
miss,Proposed (MAT),72,43.17,49.22,56.07,71.9,90.21,105.28,125.22,145.08,164.39
miss,Proposed + miss-dropout,6,26.63,26.32,25.9,27.05,27.14,28.04,29.9,32.24,35.94
miss,Proposed + miss-dropout,24,28.09,27.93,27.69,27.74,27.6,28.01,28.81,30.45,31.77
miss,Proposed + miss-dropout,72,34.98,35.28,34.7,34.25,32.85,33.79,31.57,33.55,32.82
miss,Two-stage (KNN),6,28.74,28.63,28.61,28.61,33.04,29.87,31.51,30.55,30.7
miss,Two-stage (KNN),24,33.54,33.52,33.08,32.64,36.4,31.48,32.95,31.88,30.48
miss,Two-stage (KNN),72,37.34,36.98,36.47,36.51,36.97,34.03,34.19,32.92,31.23
miss,Two-stage (SAITS),6,24.78,24.85,25.11,25.05,25.04,25.42,26.17,26.25,28.2
miss,Two-stage (SAITS),24,33.64,33.73,33.31,32.99,32.79,31.15,31.26,31.49,33.02
miss,Two-stage (SAITS),72,34.36,34.35,34.22,34.05,34.23,34.37,34.56,35.93,38.34
out,DLinear,6,21.26,32.91,41.59,52.28,60.8,65.99,70.22,74.14,79.0
out,DLinear,24,26.28,33.58,38.12,44.78,52.58,55.95,60.71,63.73,69.39
out,DLinear,72,26.51,30.07,31.07,36.38,42.37,46.14,51.74,56.68,60.55
out,GRU-D,6,22.43,22.47,22.91,24.37,24.82,25.7,26.74,29.69,31.72
out,GRU-D,24,30.12,30.6,30.33,31.5,31.66,31.55,33.16,35.08,34.17
out,GRU-D,72,32.66,33.78,33.76,36.8,37.35,38.37,41.03,44.82,46.08
out,PatchTST,6,27.35,39.36,44.51,55.19,64.36,68.51,71.06,72.61,74.35
out,PatchTST,24,31.89,42.23,46.09,58.1,64.4,69.87,74.59,73.89,76.14
out,PatchTST,72,34.56,45.06,49.1,59.36,64.39,69.32,70.32,71.08,73.87
out,Proposed (MAT),6,29.9,41.47,50.52,64.36,73.69,83.48,94.92,102.91,112.61
out,Proposed (MAT),24,29.2,37.87,44.9,58.39,68.33,79.7,92.91,103.29,113.55
out,Proposed (MAT),72,43.17,57.7,67.08,90.32,104.71,122.46,144.0,158.61,177.75
out,Proposed + miss-dropout,6,26.63,27.47,28.95,30.85,30.91,33.05,33.76,37.2,39.93
out,Proposed + miss-dropout,24,28.09,28.65,28.99,29.3,28.5,29.24,30.82,32.55,34.66
out,Proposed + miss-dropout,72,34.98,35.09,34.75,35.22,34.65,33.68,35.48,36.34,34.54
out,Two-stage (KNN),6,28.74,28.93,30.04,30.08,29.44,30.92,31.17,31.23,32.49
out,Two-stage (KNN),24,33.54,34.15,33.62,34.67,33.76,33.63,34.79,34.48,34.31
out,Two-stage (KNN),72,37.34,37.18,35.39,36.36,35.3,34.1,33.06,32.7,32.02
out,Two-stage (SAITS),6,24.78,25.2,26.93,28.21,29.2,29.98,31.92,33.72,34.89
out,Two-stage (SAITS),24,33.64,33.71,32.96,35.5,35.79,35.94,38.68,41.54,43.55
out,Two-stage (SAITS),72,34.36,34.7,35.05,36.99,37.44,38.69,41.32,44.03,46.85
