baseline,horizon,seeds,n,DM_p_median,DM_p_min,DM_p_max,sig_all_seeds,RMSE_diff_mean,CI_lo_min,CI_hi_max
Persistence,6,3,540,0.0,0.0,0.0,True,10.1593,6.3434,16.1614
Persistence,24,3,540,0.0,0.0,0.0013,True,7.5022,1.509,16.9194
Persistence,72,3,540,0.0,0.0,0.0,True,12.6874,5.8581,20.0623
Seasonal-naive,6,3,540,0.1636,0.0,0.2994,False,3.7564,-1.1412,10.5777
Seasonal-naive,24,3,540,0.0,0.0,0.0013,True,7.5022,1.509,16.9194
Seasonal-naive,72,3,540,0.0,0.0,0.0,True,12.6874,5.8581,20.0623
GRU,6,3,540,0.0,0.0,0.0329,True,5.9303,0.203,12.1815
GRU,24,3,540,0.4044,0.0,0.8918,False,2.3238,-2.8829,9.9727
GRU,72,3,540,0.0,0.0,0.002,True,6.5824,1.3569,11.8589
GRU-D,6,3,540,0.0,0.0,0.0001,True,7.0108,2.0706,12.0044
GRU-D,24,3,540,0.2922,0.0,0.3984,False,1.5613,-4.4027,9.4651
GRU-D,72,3,540,0.0,0.0,0.0,True,11.5827,4.6519,19.763
DLinear,6,3,540,0.0,0.0,0.0,True,9.566,5.1477,15.7494
DLinear,24,3,540,0.0028,0.0,0.0107,True,4.5977,1.0921,8.2962
DLinear,72,3,540,0.0,0.0,0.0,True,16.1732,9.9249,22.1345
PatchTST,6,3,540,0.1629,0.0228,0.366,False,1.0947,-3.5485,4.846
PatchTST,24,3,540,0.0151,0.0005,0.8741,False,-2.3128,-7.0337,4.0544
PatchTST,72,3,540,0.0001,0.0,0.0089,True,4.3718,-5.9133,11.7184
Two-stage (KNN),6,3,540,0.0002,0.0,0.0792,False,0.8584,-3.1005,4.6991
Two-stage (KNN),24,3,540,0.0002,0.0,0.0034,True,-1.2412,-6.2741,5.9089
Two-stage (KNN),72,3,540,0.0,0.0,0.0,True,3.459,-5.9442,10.8561
Two-stage (SAITS),6,3,540,0.0,0.0,0.0,True,4.705,2.2125,7.3366
Two-stage (SAITS),24,3,540,0.0001,0.0,0.0008,True,-0.4879,-6.617,8.3243
Two-stage (SAITS),72,3,540,0.0,0.0,0.0002,True,8.7453,2.6481,14.8981
Proposed (variant B),6,3,540,0.0001,0.0,0.0015,True,-0.0,-0.0,0.0
Proposed (variant B),24,3,540,0.0137,0.0,0.4318,False,0.0,-0.0,0.0
Proposed (variant B),72,3,540,0.0,0.0,0.0,True,-0.0,-0.0,0.0
Proposed + miss-dropout,6,3,540,0.0043,0.0,0.0082,True,5.0112,0.7181,11.9303
Proposed + miss-dropout,24,3,540,0.0001,0.0,0.235,False,2.222,-4.4382,11.3002
Proposed + miss-dropout,72,3,540,0.0,0.0,0.0001,True,9.2321,5.4053,14.0211
