model,horizon,seeds,RMSE_mean,RMSE_std,MAE_mean,R2_mean,n
vanilla_transformer,6,3,68.61343892415364,0.20111606248947583,35.129564921061196,0.4397912759107781,4459
vanilla_transformer,24,3,78.31319427490234,0.1874588677660751,44.85777918497721,0.4207757491551785,4569
vanilla_transformer,72,3,81.82686106363933,0.7915368014062467,49.763816833496094,0.368055652583019,4566
vanilla_transformer_mask_preserved,6,3,68.61343892415364,0.20111606248947583,35.129564921061196,0.4397912759107781,4459
vanilla_transformer_mask_preserved,24,3,78.31319427490234,0.1874588677660751,44.85777918497721,0.4207757491551785,4569
vanilla_transformer_mask_preserved,72,3,81.82686106363933,0.7915368014062467,49.763816833496094,0.368055652583019,4566
mat_full,6,3,68.32589721679688,0.28063451352426544,35.74633280436198,0.4444722516929242,4459
mat_full,24,3,78.74802144368489,1.1676337543271424,46.89001973470052,0.4142002497891322,4569
mat_full,72,3,81.89404805501302,1.23093644181192,50.886086781819664,0.36693369359481226,4566
mat_variant_B,6,3,68.1355717976888,0.15791794062542652,35.19787724812826,0.4475691750228072,4459
mat_variant_B,24,3,77.35550181070964,1.3215710209375693,45.78462600708008,0.43469405461516236,4569
mat_variant_B,72,3,80.5239741007487,1.2440063189314667,49.41095225016276,0.38793093731671285,4566
mat_variant_B_vanilla_input,6,3,68.3035405476888,0.18109863873411972,34.47398376464844,0.4448411825385567,4459
mat_variant_B_vanilla_input,24,3,76.7222417195638,0.34126662997409163,43.53894551595052,0.44406300742896115,4569
mat_variant_B_vanilla_input,72,3,80.44187927246094,0.6892061569033352,48.239176432291664,0.3892792309483372,4566
mat_variant_B_dual_input_ridge,6,3,67.27847290039062,0.34662341682019737,33.45105997721354,0.46136872222900055,4459
mat_variant_B_dual_input_ridge,24,3,75.0757319132487,0.37539659611467446,41.862283070882164,0.4676657680740209,4569
mat_variant_B_dual_input_ridge,72,3,79.32633209228516,1.0640906772420804,49.04559199015299,0.4060371989653478,4566
mat_miss_dropout,6,3,68.71889241536458,0.4741727406158912,36.912576039632164,0.4380460374884408,4459
mat_miss_dropout,24,3,78.87430063883464,0.7334043533451616,47.283013661702476,0.41239835159898447,4569
mat_miss_dropout,72,3,81.32657877604167,0.15830376319134512,49.706329345703125,0.3758154199507994,4566
