comparison,model_A,model_B,horizon,seeds,n,DM_p_median,DM_p_min,DM_p_max,sig_all_seeds,RMSE_diff_mean_A_minus_B,CI_lo_min,CI_hi_max,directional_A_better,note
vanilla_transformer_vs_mat_full,hybrid8_transformer,hybrid8_masked_proposed,6,3,4459,0.21382798392986735,0.12196465821090552,0.5392934911517275,False,0.2875417073567708,-0.602780532836914,1.3758405685424804,False,after-imputation variant vs imputed full MAT
vanilla_transformer_vs_mat_full,hybrid8_transformer,hybrid8_masked_proposed,24,3,4569,0.017297729111701354,0.0040553119551074435,0.02033312628905448,True,-0.43482716878255206,-2.040249061584473,1.7205570220947264,True,after-imputation variant vs imputed full MAT
vanilla_transformer_vs_mat_full,hybrid8_transformer,hybrid8_masked_proposed,72,3,4566,0.06230652256449121,0.002492088281321747,0.29980252912100314,False,-0.06718699137369792,-1.7522123336791993,1.7087800979614254,True,after-imputation variant vs imputed full MAT
vanilla_transformer_mask_preserved_vs_mat_full,hybrid8_masked_transformer,hybrid8_masked_proposed,6,3,4459,0.21382798392986735,0.12196465821090552,0.5392934911517275,False,0.2875417073567708,-0.602780532836914,1.3758405685424804,False,after-imputation variant vs imputed full MAT
vanilla_transformer_mask_preserved_vs_mat_full,hybrid8_masked_transformer,hybrid8_masked_proposed,24,3,4569,0.017297729111701354,0.0040553119551074435,0.02033312628905448,True,-0.43482716878255206,-2.040249061584473,1.7205570220947264,True,after-imputation variant vs imputed full MAT
vanilla_transformer_mask_preserved_vs_mat_full,hybrid8_masked_transformer,hybrid8_masked_proposed,72,3,4566,0.06230652256449121,0.002492088281321747,0.29980252912100314,False,-0.06718699137369792,-1.7522123336791993,1.7087800979614254,True,after-imputation variant vs imputed full MAT
mat_variant_B_vs_mat_full,hybrid8_masked_variant_B,hybrid8_masked_proposed,6,3,4459,0.17011739500132306,0.06467957441731564,0.33346725464009497,False,-0.1903254191080729,-1.1421866416931152,0.8217829704284668,True,after-imputation variant vs imputed full MAT
mat_variant_B_vs_mat_full,hybrid8_masked_variant_B,hybrid8_masked_proposed,24,3,4569,2.8999230985427005e-06,3.5709557311136564e-08,0.017747500828539264,True,-1.3925196329752605,-2.5425273895263674,-0.160382652282715,True,after-imputation variant vs imputed full MAT
mat_variant_B_vs_mat_full,hybrid8_masked_variant_B,hybrid8_masked_proposed,72,3,4566,0.00018276629746361017,1.58582076359437e-08,0.003870551610910322,True,-1.370073954264323,-2.2495193481445312,-0.3642030715942383,True,after-imputation variant vs imputed full MAT
mat_variant_B_vanilla_input_vs_mat_full,hybrid8_masked_variant_B_vanilla_input,hybrid8_masked_proposed,6,3,4459,0.6383599480087008,0.29285273520675315,0.864316327941655,False,-0.022356669108072918,-1.0155949592590332,1.123487091064453,True,after-imputation variant vs imputed full MAT
mat_variant_B_vanilla_input_vs_mat_full,hybrid8_masked_variant_B_vanilla_input,hybrid8_masked_proposed,24,3,4569,5.590920304499036e-08,3.4998641762484795e-09,0.1971954557723894,False,-2.0257797241210938,-3.994207572937012,0.3222091674804687,True,after-imputation variant vs imputed full MAT
mat_variant_B_vanilla_input_vs_mat_full,hybrid8_masked_variant_B_vanilla_input,hybrid8_masked_proposed,72,3,4566,0.00012294579288352203,5.346297005104361e-08,0.9578322296517483,False,-1.4521687825520833,-3.4159976959228517,0.892541694641113,True,after-imputation variant vs imputed full MAT
mat_variant_B_dual_input_ridge_vs_mat_full,variant_B_dual_input_ridge,hybrid8_masked_proposed,6,3,4459,0.04434222393404719,0.002572502529134546,0.07840588755708433,False,-1.04742431640625,-2.2979386329650877,0.10890331268310506,True,after-imputation variant vs imputed full MAT
mat_variant_B_dual_input_ridge_vs_mat_full,variant_B_dual_input_ridge,hybrid8_masked_proposed,24,3,4569,4.5655752956008655e-08,4.440892098500626e-16,1.3545410654680623e-05,True,-3.6722895304361978,-6.576313781738281,-0.9773832321166994,True,after-imputation variant vs imputed full MAT
mat_variant_B_dual_input_ridge_vs_mat_full,variant_B_dual_input_ridge,hybrid8_masked_proposed,72,3,4566,6.042667186623163e-07,2.580158309228864e-13,2.117134135559695e-06,True,-2.5677159627278647,-4.034154319763184,-1.1000478744506836,True,after-imputation variant vs imputed full MAT
mat_miss_dropout_vs_mat_full,hybrid8_masked_proposed_md,hybrid8_masked_proposed,6,3,4459,0.5754060311708362,0.09123025887714564,0.8461548297306514,False,0.3929951985677083,-1.3863665580749511,3.1485319137573238,False,after-imputation variant vs imputed full MAT
mat_miss_dropout_vs_mat_full,hybrid8_masked_proposed_md,hybrid8_masked_proposed,24,3,4569,0.34758076872876775,0.1611267259960243,0.6543227480816216,False,0.1262791951497396,-1.8894420623779298,1.8784139633178711,False,after-imputation variant vs imputed full MAT
mat_miss_dropout_vs_mat_full,hybrid8_masked_proposed_md,hybrid8_masked_proposed,72,3,4566,0.03134681905537984,2.338959492753645e-07,0.11343733698310854,False,-0.5674692789713541,-2.7928802490234377,1.4615865707397457,True,after-imputation variant vs imputed full MAT
