comparison,model_A,model_B,horizon,seeds,n,DM_p_median,DM_p_min,DM_p_max,sig_all_seeds,RMSE_diff_mean_A_minus_B,CI_lo_min,CI_hi_max,directional_A_better,note
vanilla_transformer_mask_preserved_vs_vanilla_transformer,hybrid8_masked_transformer,hybrid8_transformer,6,3,4459,,,,False,0.0,0.0,0.0,False,after-imputation variant vs vanilla Transformer
vanilla_transformer_mask_preserved_vs_vanilla_transformer,hybrid8_masked_transformer,hybrid8_transformer,24,3,4569,,,,False,0.0,0.0,0.0,False,after-imputation variant vs vanilla Transformer
vanilla_transformer_mask_preserved_vs_vanilla_transformer,hybrid8_masked_transformer,hybrid8_transformer,72,3,4566,,,,False,0.0,0.0,0.0,False,after-imputation variant vs vanilla Transformer
mat_full_vs_vanilla_transformer,hybrid8_masked_proposed,hybrid8_transformer,6,3,4459,0.21382798392986735,0.12196465821090552,0.5392934911517275,False,-0.2875417073567708,-1.3758405685424804,0.602780532836914,True,after-imputation variant vs vanilla Transformer
mat_full_vs_vanilla_transformer,hybrid8_masked_proposed,hybrid8_transformer,24,3,4569,0.017297729111701354,0.0040553119551074435,0.02033312628905448,True,0.43482716878255206,-1.7205570220947266,2.040249061584473,False,after-imputation variant vs vanilla Transformer
mat_full_vs_vanilla_transformer,hybrid8_masked_proposed,hybrid8_transformer,72,3,4566,0.06230652256449121,0.002492088281321747,0.29980252912100314,False,0.06718699137369792,-1.7087800979614258,1.752212333679199,False,after-imputation variant vs vanilla Transformer
mat_variant_B_vs_vanilla_transformer,hybrid8_masked_variant_B,hybrid8_transformer,6,3,4459,0.546421275273405,0.0009311308721955402,0.6601199263619044,False,-0.47786712646484375,-1.587232780456543,0.6913957595825193,True,after-imputation variant vs vanilla Transformer
mat_variant_B_vs_vanilla_transformer,hybrid8_masked_variant_B,hybrid8_transformer,24,3,4569,0.1679047485543561,6.128536634619763e-06,0.5848063409021376,False,-0.9576924641927084,-3.494771957397461,1.4818960189819335,True,after-imputation variant vs vanilla Transformer
mat_variant_B_vs_vanilla_transformer,hybrid8_masked_variant_B,hybrid8_transformer,72,3,4566,0.01623113544421062,5.043356843259517e-10,0.37905902239975253,False,-1.302886962890625,-2.945427894592285,0.7851743698120114,True,after-imputation variant vs vanilla Transformer
mat_variant_B_vanilla_input_vs_vanilla_transformer,hybrid8_masked_variant_B_vanilla_input,hybrid8_transformer,6,3,4459,0.16105318165070837,0.03967556362602287,0.4619120305906377,False,-0.30989837646484375,-0.7747123718261719,0.37288417816162095,True,after-imputation variant vs vanilla Transformer
mat_variant_B_vanilla_input_vs_vanilla_transformer,hybrid8_masked_variant_B_vanilla_input,hybrid8_transformer,24,3,4569,5.888832643741182e-08,3.6903483380257285e-08,5.953409387693398e-08,True,-1.5909525553385417,-2.607594299316406,-0.8399770736694337,True,after-imputation variant vs vanilla Transformer
mat_variant_B_vanilla_input_vs_vanilla_transformer,hybrid8_masked_variant_B_vanilla_input,hybrid8_transformer,72,3,4566,6.680856978746874e-09,6.059597268404104e-13,2.9499171434688165e-05,True,-1.3849817911783855,-2.177034378051758,-0.5294996261596682,True,after-imputation variant vs vanilla Transformer
mat_variant_B_dual_input_ridge_vs_vanilla_transformer,variant_B_dual_input_ridge,hybrid8_transformer,6,3,4459,1.8190388790806367e-05,1.0247882497260719e-05,0.009903584055667825,True,-1.3349660237630208,-2.648055648803711,-0.18563556671142595,True,after-imputation variant vs vanilla Transformer
mat_variant_B_dual_input_ridge_vs_vanilla_transformer,variant_B_dual_input_ridge,hybrid8_transformer,24,3,4569,8.697452980044318e-08,1.8172130467064562e-12,0.00022455503540963484,True,-3.237462361653646,-5.565969085693359,-1.3056276321411138,True,after-imputation variant vs vanilla Transformer
mat_variant_B_dual_input_ridge_vs_vanilla_transformer,variant_B_dual_input_ridge,hybrid8_transformer,72,3,4566,5.3910736319551233e-08,0.0,6.627801919734111e-06,True,-2.5005289713541665,-3.5032066345214843,-1.2470930099487305,True,after-imputation variant vs vanilla Transformer
mat_miss_dropout_vs_vanilla_transformer,hybrid8_masked_proposed_md,hybrid8_transformer,6,3,4459,0.3797781975603498,0.31844917355897806,0.6285014116739163,False,0.1054534912109375,-2.0549245834350587,2.5772460937499995,False,after-imputation variant vs vanilla Transformer
mat_miss_dropout_vs_vanilla_transformer,hybrid8_masked_proposed_md,hybrid8_transformer,24,3,4569,0.4057864770083053,0.06312330652905884,0.7664648094012592,False,0.5611063639322916,-1.4793098449707032,2.578378295898437,False,after-imputation variant vs vanilla Transformer
mat_miss_dropout_vs_vanilla_transformer,hybrid8_masked_proposed_md,hybrid8_transformer,72,3,4566,0.6321381377250124,0.05884856575519293,0.7354145932369973,False,-0.5002822875976562,-2.9104360580444335,0.8874748229980468,True,after-imputation variant vs vanilla Transformer
