comparison,model_A,model_B,horizon,seeds,n,DM_p_median,DM_p_min,DM_p_max,sig_all_seeds,RMSE_diff_mean_A_minus_B,CI_lo_min,CI_hi_max,directional_A_better,note
no_miss_embed_vs_full,no_miss_embed,full,6,3,4459,0.004430911261137149,0.002479658694320319,0.744499892175932,False,0.4863739013671875,-0.9944836616516113,1.3842046737670897,False,clean ablation vs full MAT
no_miss_embed_vs_full,no_miss_embed,full,24,3,4569,0.39990541350263653,0.23885349110188892,0.6100165450912511,False,-0.10943349202473958,-2.700794219970703,1.2336681365966797,True,clean ablation vs full MAT
no_miss_embed_vs_full,no_miss_embed,full,72,3,4566,0.4460835950928339,0.022788373042800236,0.6556374211182026,False,0.386810302734375,-1.054777717590332,2.1808971405029296,False,clean ablation vs full MAT
variant_B_vs_full,variant_B,full,6,3,4459,0.2751371290527649,0.04810599147269157,0.6765557697773348,False,0.0068359375,-1.8183203697204589,1.1583264350891114,False,clean ablation vs full MAT
variant_B_vs_full,variant_B,full,24,3,4569,0.1696122502017503,0.15627295371185124,0.3381358362814004,False,-0.4543406168619792,-1.3341253280639649,0.4554412841796872,True,clean ablation vs full MAT
variant_B_vs_full,variant_B,full,72,3,4566,0.006073718503295744,0.00017862539917068432,0.019965158606592093,True,-1.2824147542317708,-2.6386980056762694,-0.2594293594360356,True,clean ablation vs full MAT
no_met_vs_full,no_met,full,6,3,4459,0.20762265669401536,0.030125160511673466,0.9037919938637275,False,0.40044403076171875,-1.143458652496338,1.5517599105834956,False,clean ablation vs full MAT
no_met_vs_full,no_met,full,24,3,4569,0.020835188000449367,0.001379023949993341,0.19816639658695334,False,0.2428131103515625,-4.033900451660156,2.80765323638916,False,clean ablation vs full MAT
no_met_vs_full,no_met,full,72,3,4566,0.011333971332837312,0.0007823498318466626,0.7199944115100196,False,-0.08093516031901042,-3.218345832824707,3.2970714569091797,True,clean ablation vs full MAT
no_time_vs_full,no_time,full,6,3,4459,0.008980618684423458,0.0057368662837096185,0.07902135633941754,False,0.8507486979166666,-0.03926410675048827,2.0865060806274407,False,clean ablation vs full MAT
no_time_vs_full,no_time,full,24,3,4569,0.003083822830315608,2.6886146908822184e-07,0.951955794866314,False,1.6703999837239583,-1.9966787338256835,4.236357116699219,False,clean ablation vs full MAT
no_time_vs_full,no_time,full,72,3,4566,1.0572783911033667e-05,6.954988940321982e-08,6.606856758328838e-05,True,3.1500422159830728,1.3724010467529297,5.351278686523437,False,clean ablation vs full MAT
seq72_vs_full,seq72,full,6,3,4459,0.0022444462374606733,0.00013358109812289243,0.012320646797831847,True,1.0657323201497395,0.2432318687438965,2.129645252227783,False,clean ablation vs full MAT
seq72_vs_full,seq72,full,24,3,4569,0.30151429397484764,0.00010791117306707676,0.3288347809591614,False,0.7501246134440104,-1.6297805786132813,3.6517517089843747,False,clean ablation vs full MAT
seq72_vs_full,seq72,full,72,3,4566,0.03168463429945412,0.000593546877373452,0.798134993103571,False,-0.9501775105794271,-2.8796815872192383,0.7029912948608399,True,clean ablation vs full MAT
seq336_vs_full,seq336,full,6,1,4459,7.151978155750527e-05,7.151978155750527e-05,7.151978155750527e-05,True,1.8356475830078125,1.0146722793579102,2.7376928329467773,False,clean ablation vs full MAT
seq336_vs_full,seq336,full,24,1,4569,0.04802423675632972,0.04802423675632972,0.04802423675632972,True,0.8812408447265625,0.044856262207031254,1.8499084472656249,False,clean ablation vs full MAT
seq336_vs_full,seq336,full,72,1,4566,0.7460713203004175,0.7460713203004175,0.7460713203004175,False,0.24115753173828125,-1.3172725677490233,1.6417192459106444,False,clean ablation vs full MAT
single_h24_vs_full,single_h24,full,24,3,4569,0.004284822302391245,2.35078014343415e-06,0.8586813828157807,False,0.594207763671875,-2.1550432205200196,4.374994468688964,False,clean ablation vs full MAT
miss_dropout_vs_full,miss_dropout,full,6,3,4459,0.07446189422562433,0.05683135470606615,0.12116954157384541,False,0.4462178548177083,-1.114292526245117,2.1431690216064454,False,clean ablation vs full MAT
miss_dropout_vs_full,miss_dropout,full,24,3,4569,7.165738002967714e-09,0.0,0.4032991563770101,False,3.2355575561523438,-0.2509731292724609,6.534502220153809,False,clean ablation vs full MAT
miss_dropout_vs_full,miss_dropout,full,72,3,4566,0.21502258401844876,0.1072983686737734,0.2607692145645166,False,0.0005467732747395834,-1.7840343475341798,2.1526668548583983,False,clean ablation vs full MAT
