mode,horizon,level,eff_missing_pct,best_two_stage,best_end_to_end,gap
miss,6,0,32.7,66.07,66.24,-0.17
miss,6,5,36.1,65.75,66.3,-0.54
miss,6,10,39.4,65.7,66.35,-0.65
miss,6,20,46.2,65.73,66.96,-1.23
miss,6,30,52.9,65.3,67.2,-1.91
miss,6,40,59.6,65.74,67.88,-2.15
miss,6,50,66.4,66.11,68.3,-2.19
miss,6,60,73.1,67.28,69.19,-1.91
miss,6,70,79.8,71.07,71.12,-0.05
miss,24,0,32.7,75.57,77.11,-1.54
miss,24,5,36.1,75.43,77.11,-1.68
miss,24,10,39.4,75.74,77.27,-1.53
miss,24,20,46.2,75.86,77.01,-1.14
miss,24,30,52.9,75.91,77.51,-1.6
miss,24,40,59.6,76.47,78.09,-1.62
miss,24,50,66.4,75.43,76.73,-1.31
miss,24,60,73.1,76.05,76.86,-0.82
miss,24,70,79.8,77.17,77.97,-0.8
miss,72,0,32.7,79.74,80.47,-0.73
miss,72,5,36.1,79.6,80.39,-0.79
miss,72,10,39.4,79.59,80.4,-0.81
miss,72,20,46.2,79.14,80.13,-1.0
miss,72,30,52.9,79.06,80.48,-1.43
miss,72,40,59.6,78.9,80.91,-2.01
miss,72,50,66.4,78.84,80.63,-1.79
miss,72,60,73.1,78.61,79.91,-1.3
miss,72,70,79.8,78.57,79.84,-1.27
out,6,0,32.7,66.07,66.24,-0.17
out,6,5,36.2,66.52,66.63,-0.11
out,6,10,39.6,67.1,67.04,0.06
out,6,20,46.3,66.56,67.4,-0.85
out,6,30,53.0,67.94,67.56,0.38
out,6,40,59.8,70.9,69.7,1.2
out,6,50,66.5,69.97,68.28,1.69
out,6,60,73.2,71.85,70.77,1.08
out,6,70,79.9,73.15,72.14,1.01
out,24,0,32.7,75.57,77.11,-1.54
out,24,5,36.2,75.51,76.68,-1.18
out,24,10,39.6,76.0,77.39,-1.39
out,24,20,46.3,76.25,77.17,-0.92
out,24,30,53.0,75.64,76.62,-0.98
out,24,40,59.8,76.3,77.17,-0.87
out,24,50,66.5,76.68,77.38,-0.7
out,24,60,73.2,77.56,77.16,0.4
out,24,70,79.9,78.58,79.46,-0.88
out,72,0,32.7,79.74,80.47,-0.73
out,72,5,36.2,79.67,80.19,-0.52
out,72,10,39.6,79.41,80.16,-0.75
out,72,20,46.3,79.54,79.9,-0.36
out,72,30,53.0,79.5,80.62,-1.13
out,72,40,59.8,79.27,79.96,-0.7
out,72,50,66.5,79.86,80.18,-0.33
out,72,60,73.2,79.24,79.65,-0.4
out,72,70,79.9,79.7,81.12,-1.42
