mode,horizon,level,eff_missing_pct,best_two_stage,best_end_to_end,gap,dataset
miss,6,0,32.7,66.07,66.24,-0.17,Dhaka
miss,6,5,36.1,65.75,66.3,-0.54,Dhaka
miss,6,10,39.4,65.7,66.35,-0.65,Dhaka
miss,6,20,46.2,65.73,66.96,-1.23,Dhaka
miss,6,30,52.9,65.3,67.2,-1.91,Dhaka
miss,6,40,59.6,65.74,67.88,-2.15,Dhaka
miss,6,50,66.4,66.11,68.3,-2.19,Dhaka
miss,6,60,73.1,67.28,69.19,-1.91,Dhaka
miss,6,70,79.8,71.07,71.12,-0.05,Dhaka
miss,24,0,32.7,75.57,77.11,-1.54,Dhaka
miss,24,5,36.1,75.43,77.11,-1.68,Dhaka
miss,24,10,39.4,75.74,77.27,-1.53,Dhaka
miss,24,20,46.2,75.86,77.01,-1.14,Dhaka
miss,24,30,52.9,75.91,77.51,-1.6,Dhaka
miss,24,40,59.6,76.47,78.09,-1.62,Dhaka
miss,24,50,66.4,75.43,76.73,-1.31,Dhaka
miss,24,60,73.1,76.05,76.86,-0.82,Dhaka
miss,24,70,79.8,77.17,77.97,-0.8,Dhaka
miss,72,0,32.7,79.74,80.47,-0.73,Dhaka
miss,72,5,36.1,79.6,80.39,-0.79,Dhaka
miss,72,10,39.4,79.59,80.4,-0.81,Dhaka
miss,72,20,46.2,79.14,80.13,-1.0,Dhaka
miss,72,30,52.9,79.06,80.48,-1.43,Dhaka
miss,72,40,59.6,78.9,80.91,-2.01,Dhaka
miss,72,50,66.4,78.84,80.63,-1.79,Dhaka
miss,72,60,73.1,78.61,79.91,-1.3,Dhaka
miss,72,70,79.8,78.57,79.84,-1.27,Dhaka
out,6,0,32.7,66.07,66.24,-0.17,Dhaka
out,6,5,36.2,66.52,66.63,-0.11,Dhaka
out,6,10,39.6,67.1,67.04,0.06,Dhaka
out,6,20,46.3,66.56,67.4,-0.85,Dhaka
out,6,30,53.0,67.94,67.56,0.38,Dhaka
out,6,40,59.8,70.9,69.7,1.2,Dhaka
out,6,50,66.5,69.97,68.28,1.69,Dhaka
out,6,60,73.2,71.85,70.77,1.08,Dhaka
out,6,70,79.9,73.15,72.14,1.01,Dhaka
out,24,0,32.7,75.57,77.11,-1.54,Dhaka
out,24,5,36.2,75.51,76.68,-1.18,Dhaka
out,24,10,39.6,76.0,77.39,-1.39,Dhaka
out,24,20,46.3,76.25,77.17,-0.92,Dhaka
out,24,30,53.0,75.64,76.62,-0.98,Dhaka
out,24,40,59.8,76.3,77.17,-0.87,Dhaka
out,24,50,66.5,76.68,77.38,-0.7,Dhaka
out,24,60,73.2,77.56,77.16,0.4,Dhaka
out,24,70,79.9,78.58,79.46,-0.88,Dhaka
out,72,0,32.7,79.74,80.47,-0.73,Dhaka
out,72,5,36.2,79.67,80.19,-0.52,Dhaka
out,72,10,39.6,79.41,80.16,-0.75,Dhaka
out,72,20,46.3,79.54,79.9,-0.36,Dhaka
out,72,30,53.0,79.5,80.62,-1.13,Dhaka
out,72,40,59.8,79.27,79.96,-0.7,Dhaka
out,72,50,66.5,79.86,80.18,-0.33,Dhaka
out,72,60,73.2,79.24,79.65,-0.4,Dhaka
out,72,70,79.9,79.7,81.12,-1.42,Dhaka
miss,6,0,2.9,50.43,49.71,0.71,Beijing
miss,6,5,7.7,50.47,51.4,-0.92,Beijing
miss,6,10,12.6,50.45,52.92,-2.47,Beijing
miss,6,20,22.3,50.74,55.45,-4.71,Beijing
miss,6,30,32.0,50.05,54.62,-4.57,Beijing
miss,6,40,41.7,50.61,58.55,-7.94,Beijing
miss,6,50,51.4,51.76,62.91,-11.15,Beijing
miss,6,60,61.2,52.44,65.41,-12.97,Beijing
miss,6,70,70.9,54.36,69.13,-14.77,Beijing
miss,24,0,2.9,76.42,76.5,-0.09,Beijing
miss,24,5,7.7,76.48,77.04,-0.56,Beijing
miss,24,10,12.6,76.5,77.11,-0.61,Beijing
miss,24,20,22.3,76.4,77.63,-1.23,Beijing
miss,24,30,32.0,76.45,77.99,-1.55,Beijing
miss,24,40,41.7,76.65,79.34,-2.69,Beijing
miss,24,50,51.4,76.74,80.38,-3.64,Beijing
miss,24,60,61.2,76.57,81.42,-4.85,Beijing
miss,24,70,70.9,77.61,82.99,-5.38,Beijing
miss,72,0,2.9,85.96,85.74,0.22,Beijing
miss,72,5,7.7,86.03,85.7,0.33,Beijing
miss,72,10,12.6,86.03,85.67,0.36,Beijing
miss,72,20,22.3,85.97,85.44,0.53,Beijing
miss,72,30,32.0,86.07,85.64,0.42,Beijing
miss,72,40,41.7,86.01,85.61,0.4,Beijing
miss,72,50,51.4,85.81,85.24,0.58,Beijing
miss,72,60,61.2,85.87,85.48,0.39,Beijing
miss,72,70,70.9,86.13,85.77,0.36,Beijing
out,6,0,2.9,50.43,49.71,0.71,Beijing
out,6,5,7.9,51.92,52.84,-0.91,Beijing
out,6,10,12.8,53.11,53.72,-0.61,Beijing
out,6,20,22.5,55.17,56.53,-1.35,Beijing
out,6,30,32.2,58.69,60.74,-2.05,Beijing
out,6,40,41.9,60.0,63.01,-3.01,Beijing
out,6,50,51.6,63.74,68.03,-4.29,Beijing
out,6,60,61.3,66.76,70.79,-4.03,Beijing
out,6,70,71.0,69.51,73.82,-4.31,Beijing
out,24,0,2.9,76.42,76.5,-0.09,Beijing
out,24,5,7.9,76.68,77.3,-0.62,Beijing
out,24,10,12.8,77.04,77.88,-0.84,Beijing
out,24,20,22.5,76.95,78.09,-1.14,Beijing
out,24,30,32.2,78.1,79.81,-1.71,Beijing
out,24,40,41.9,77.74,80.3,-2.56,Beijing
out,24,50,51.6,79.33,82.36,-3.04,Beijing
out,24,60,61.3,80.97,83.96,-2.99,Beijing
out,24,70,71.0,81.33,84.52,-3.18,Beijing
