member,seed,val_rows,test_rows,overlap_rows,max_val_anchor,min_test_anchor,chronological_gap_positive
hybrid8_masked_variant_B,42,1420,5578,0,1703721600,1704067200,True
hybrid8_masked_variant_B,43,1420,5578,0,1703721600,1704067200,True
hybrid8_masked_variant_B,44,1420,5578,0,1703721600,1704067200,True
hybrid8_masked_variant_B_vanilla_input,42,1420,5578,0,1703721600,1704067200,True
hybrid8_masked_variant_B_vanilla_input,43,1420,5578,0,1703721600,1704067200,True
hybrid8_masked_variant_B_vanilla_input,44,1420,5578,0,1703721600,1704067200,True
hybrid8_transformer,42,1420,5578,0,1703721600,1704067200,True
hybrid8_transformer,43,1420,5578,0,1703721600,1704067200,True
hybrid8_transformer,44,1420,5578,0,1703721600,1704067200,True
variant_B,42,1420,5578,0,1703721600,1704067200,True
variant_B,43,1420,5578,0,1703721600,1704067200,True
variant_B,44,1420,5578,0,1703721600,1704067200,True
proposed,42,1420,5578,0,1703721600,1704067200,True
hybrid8_masked_proposed_md,42,1420,5578,0,1703721600,1704067200,True
hybrid8_masked_proposed_md,43,1420,5578,0,1703721600,1704067200,True
hybrid8_masked_proposed_md,44,1420,5578,0,1703721600,1704067200,True
two_stage_knn,42,1420,5578,0,1703721600,1704067200,True
two_stage_knn,43,1420,5578,0,1703721600,1704067200,True
two_stage_knn,44,1420,5578,0,1703721600,1704067200,True
two_stage_mice,42,1420,5578,0,1703721600,1704067200,True
two_stage_mice,43,1420,5578,0,1703721600,1704067200,True
two_stage_mice,44,1420,5578,0,1703721600,1704067200,True
two_stage_saits,42,1420,5578,0,1703721600,1704067200,True
two_stage_saits,43,1420,5578,0,1703721600,1704067200,True
two_stage_saits,44,1420,5578,0,1703721600,1704067200,True
dlinear,42,1420,5578,0,1703721600,1704067200,True
dlinear,43,1420,5578,0,1703721600,1704067200,True
dlinear,44,1420,5578,0,1703721600,1704067200,True
gru_d,42,1420,5578,0,1703721600,1704067200,True
gru_d,43,1420,5578,0,1703721600,1704067200,True
gru_d,44,1420,5578,0,1703721600,1704067200,True
