horizon,member,weight
6,persistence,0.04035549814028955
6,seasonal_naive,0.13144050616760705
6,dlinear_s42,0.0
6,dlinear_s43,0.10779787736126147
6,dlinear_s44,1.1151612267076491e-17
6,gru_d_s42,9.417411569246818e-18
6,gru_d_s43,3.604846492061194e-18
6,gru_d_s44,1.4168875974094317e-18
6,proposed_s42,3.785337301720265e-18
6,hybrid8_transformer_s42,0.07534952055015685
6,hybrid8_transformer_s43,0.019544708644742028
6,hybrid8_transformer_s44,0.153049184588944
6,hybrid8_masked_transformer_s42,0.001084855808344225
6,hybrid8_masked_transformer_s43,0.019544708644742365
6,hybrid8_masked_transformer_s44,0.15304918458894343
6,hybrid8_masked_variant_B_s42,0.0
6,hybrid8_masked_variant_B_s43,0.1595284820406355
6,hybrid8_masked_variant_B_s44,0.0
6,hybrid8_masked_proposed_md_s42,0.0
6,hybrid8_masked_proposed_md_s43,0.032090310189226215
6,hybrid8_masked_proposed_md_s44,0.10716516327510736
24,persistence,0.0
24,seasonal_naive,0.16992924870618561
24,dlinear_s42,7.007973497328535e-18
24,dlinear_s43,0.0
24,dlinear_s44,0.10527105167722844
24,gru_d_s42,0.09976565885154898
24,gru_d_s43,0.030686479839048087
24,gru_d_s44,0.017919219318770337
24,proposed_s42,0.25186166780545527
24,hybrid8_transformer_s42,0.032951827378851516
24,hybrid8_transformer_s43,0.0
24,hybrid8_transformer_s44,9.743147921160595e-18
24,hybrid8_masked_transformer_s42,0.03295182737885135
24,hybrid8_masked_transformer_s43,1.8753135993169572e-19
24,hybrid8_masked_transformer_s44,2.8984300996581424e-18
24,hybrid8_masked_variant_B_s42,0.0
24,hybrid8_masked_variant_B_s43,0.0
24,hybrid8_masked_variant_B_s44,5.582875714329529e-19
24,hybrid8_masked_proposed_md_s42,0.0
24,hybrid8_masked_proposed_md_s43,0.0052236910052764944
24,hybrid8_masked_proposed_md_s44,0.2534393280387839
72,persistence,0.0
72,seasonal_naive,0.12469485638709989
72,dlinear_s42,0.0
72,dlinear_s43,0.0
72,dlinear_s44,0.027326565363397483
72,gru_d_s42,0.08961037255043335
72,gru_d_s43,0.16196953180145643
72,gru_d_s44,5.417097126352808e-18
72,proposed_s42,0.24646511408928792
72,hybrid8_transformer_s42,0.040866324752473475
72,hybrid8_transformer_s43,0.0
72,hybrid8_transformer_s44,0.11420666689924094
72,hybrid8_masked_transformer_s42,0.040866324752474474
72,hybrid8_masked_transformer_s43,0.0
72,hybrid8_masked_transformer_s44,0.11420666689924083
72,hybrid8_masked_variant_B_s42,1.424552050873426e-18
72,hybrid8_masked_variant_B_s43,2.692890327597941e-18
72,hybrid8_masked_variant_B_s44,0.0
72,hybrid8_masked_proposed_md_s42,2.942946574271387e-18
72,hybrid8_masked_proposed_md_s43,0.039787576504895096
72,hybrid8_masked_proposed_md_s44,5.15862158276847e-19
