horizon,model,weight
6,persistence,0.03032330451176732
6,seasonal_naive,0.12371115904442428
6,dlinear,0.15202369768706084
6,gru_d,3.723768594366718e-19
6,proposed,2.633240144556408e-18
6,hybrid8_transformer,0.20229222251929607
6,hybrid8_masked_transformer,0.20229222251929577
6,hybrid8_masked_variant_B,0.23886041413291795
6,hybrid8_masked_proposed_md,0.050496979585237765
24,persistence,0.0
24,seasonal_naive,0.17932945642089115
24,dlinear,0.07552717777463692
24,gru_d,0.16977687970673871
24,proposed,0.27253126106328945
24,hybrid8_transformer,0.1924946368303631
24,hybrid8_masked_transformer,3.0071381215271936e-05
24,hybrid8_masked_variant_B,9.106600211543871e-19
24,hybrid8_masked_proposed_md,0.11031051682286552
72,persistence,0.0
72,seasonal_naive,0.1253872402511405
72,dlinear,0.04487937696982702
72,gru_d,0.2830762844767621
72,proposed,0.20494346495002175
72,hybrid8_transformer,0.34150553724085086
72,hybrid8_masked_transformer,0.0002080961113978635
72,hybrid8_masked_variant_B,7.52147521006597e-19
72,hybrid8_masked_proposed_md,0.0
