model,horizon,RMSE,RMSE_diff_final_minus_model,improvement_pct,combined_fisher_p_holm,combined_significant,all_seed_directional_win,label
lstm,6,68.20313008626302,-2.423787434895833,3.5537774172977654,4.613291966106817e-06,1.0,True,LSTM
lstm,24,78.04840087890625,-3.817054748535156,4.890625183285174,1.0252415288206743e-20,1.0,True,LSTM
lstm,72,80.94544219970703,-3.398834228515625,4.198919835572814,9.989299637208606e-21,1.0,True,LSTM
gru,6,67.69219970703125,-1.9128570556640625,2.825816067350183,1.3131290926039447e-05,1.0,True,GRU
gru,24,76.45178476969402,-2.2204386393229165,2.904364686857007,6.750500440515254e-08,1.0,True,GRU
gru,72,79.57577260335286,-2.0291646321614585,2.549977921390563,4.166889897920507e-11,1.0,True,GRU
gru_d,6,68.88831837972005,-3.1089757283528647,4.513066658436697,1.9267403653598663e-16,1.0,True,GRU-D
gru_d,24,76.6868387858073,-2.4554926554361978,3.201974020984999,2.342580778769484e-13,1.0,True,GRU-D
gru_d,72,80.60831197102864,-3.06170399983724,3.798248499407411,8.288819757438861e-26,1.0,True,GRU-D
dlinear,6,70.50958251953125,-4.730239868164063,6.708648242036862,7.114938737280577e-38,1.0,True,DLinear
dlinear,24,80.89759826660156,-6.666252136230469,8.24035852617224,0.0,1.0,True,DLinear
dlinear,72,83.55455271402995,-6.007944742838542,7.190445700069825,1.1559100644614313e-29,1.0,True,DLinear
patchtst,6,74.60525004069011,-8.825907389322916,11.830142496016324,0.0,1.0,True,PatchTST
patchtst,24,84.3426742553711,-10.111328125,11.988389287236872,0.0,1.0,True,PatchTST
patchtst,72,87.51097361246744,-9.96436564127604,11.386418445533607,0.0,1.0,True,PatchTST
two_stage_knn,6,66.94944763183594,-1.17010498046875,1.7477440395077124,0.0005884274957059,1.0,True,"KNN +
Transformer"
two_stage_knn,24,76.41799926757812,-2.1866531372070312,2.861437302945411,1.5893258311704107e-09,1.0,True,"KNN +
Transformer"
two_stage_knn,72,80.94500223795573,-3.3983942667643228,4.1983991263277645,4.6010271195631845e-22,1.0,True,"KNN +
Transformer"
two_stage_mice,6,67.38613637288411,-1.606793721516927,2.3844574092001123,1.1462772249036189e-06,1.0,True,"MICE +
Transformer"
two_stage_mice,24,76.80993906656902,-2.5785929361979165,3.3571084257248565,2.5468291623849235e-10,1.0,True,"MICE +
Transformer"
two_stage_mice,72,80.65704600016277,-3.110438028971354,3.856374840413914,7.78741080498476e-23,1.0,True,"MICE +
Transformer"
two_stage_saits,6,67.2247543334961,-1.4454116821289062,2.1501182063951414,2.3330230954374787e-08,1.0,True,"SAITS +
Transformer"
two_stage_saits,24,76.30933125813802,-2.0779851277669272,2.723107506652825,9.688827413030309e-08,1.0,True,"SAITS +
Transformer"
two_stage_saits,72,81.43326822916667,-3.88666025797526,4.772816248805778,1.9329762469357006e-26,1.0,True,"SAITS +
Transformer"
proposed,6,67.03036753336589,-1.251024881998698,1.8663553968669078,1.1414683857213661e-07,1.0,True,Full MAT
proposed,24,76.45538584391277,-2.2240397135416665,2.9089379237221396,6.750500440515254e-08,1.0,True,Full MAT
proposed,72,81.53900400797527,-3.992396036783854,4.896302187347494,0.0,1.0,True,Full MAT
variant_B,6,67.03720347086589,-1.257860819498698,1.8763623098409221,1.3131290926039447e-05,1.0,True,"Native
Variant B"
variant_B,24,76.00104522705078,-1.7696990966796875,2.328519418901103,8.529669814791644e-06,1.0,True,"Native
Variant B"
variant_B,72,80.25658925374348,-2.7099812825520835,3.376646463238131,4.915811334483743e-12,1.0,True,"Native
Variant B"
proposed_md,6,67.4765853881836,-1.6972427368164062,2.5153062014807066,1.5537328473807857e-06,1.0,True,"MAT + miss.
dropout"
proposed_md,24,79.69094340006511,-5.459597269694011,6.850963279836828,1.6381031185594458e-26,1.0,True,"MAT + miss.
dropout"
proposed_md,72,81.53955078125,-3.9929428100585938,4.896939916643213,7.207349756003253e-21,1.0,True,"MAT + miss.
dropout"
hybrid8_transformer,6,68.61343892415364,-2.8340962727864585,4.13052649338756,9.2367590762783e-21,1.0,True,"Vanilla
Transformer"
hybrid8_transformer,24,78.31319427490234,-4.08184814453125,5.2122100015519255,2.5468291623849235e-10,1.0,True,"Vanilla
Transformer"
hybrid8_transformer,72,81.82686106363933,-4.280253092447917,5.230865557850287,0.0,1.0,True,"Vanilla
Transformer"
hybrid8_masked_variant_B,6,68.1355717976888,-2.3562291463216147,3.4581483418350643,1.7235506022802662e-15,1.0,True,"MAT
Variant B"
hybrid8_masked_variant_B,24,77.35550181070964,-3.124155680338541,4.038698744380728,3.6895149590984296e-08,1.0,True,"MAT
Variant B"
hybrid8_masked_variant_B,72,80.5239741007487,-2.9773661295572915,3.697490297525701,2.780385349184493e-20,1.0,True,"MAT
Variant B"
hybrid8_masked_variant_B_vanilla_input,6,68.3035405476888,-2.5241978963216147,3.695559375226306,1.2656496520873754e-18,1.0,True,"Variant B
vanilla input"
hybrid8_masked_variant_B_vanilla_input,24,76.7222417195638,-2.4908955891927085,3.2466407828612,2.474186318888048e-05,1.0,True,"Variant B
vanilla input"
hybrid8_masked_variant_B_vanilla_input,72,80.44187927246094,-2.8952713012695312,3.599208928800747,1.4967661062597417e-18,1.0,True,"Variant B
vanilla input"
validation_convex_intercept_stack,6,65.77934265136719,0.0,0.0,0.0,1.0,True,"Final MAT
ensemble"
validation_convex_intercept_stack,24,74.2313461303711,0.0,0.0,0.0,1.0,True,"Final MAT
ensemble"
validation_convex_intercept_stack,72,77.5466079711914,0.0,0.0,0.0,1.0,True,"Final MAT
ensemble"
variant_B_dual_input_ridge,6,67.27847290039062,-1.4991302490234375,2.2282465466226915,,,True,"Variant B
dual ridge"
variant_B_dual_input_ridge,24,75.0757319132487,-0.8443857828776089,1.124712022592482,,,True,"Variant B
dual ridge"
variant_B_dual_input_ridge,72,79.32633209228516,-1.77972412109375,2.2435477276615896,,,True,"Variant B
dual ridge"
