candidate,horizon,seeds,RMSE_mean,RMSE_std,MAE_mean
validation_h6_rrelu_d128_a1000_g0,6,3,66.36241404215495,0.48146008100677856,33.07650502522787
validation_h6_rrelu_d128_a1000_g0,24,3,74.13499704996745,0.18845277910645422,40.74471918741862
validation_h6_rrelu_d128_a1000_g0,72,3,77.52084096272786,0.27989519217886843,45.25073496500651
validation_h6_rrelu_d128_a1000_g2,6,3,66.29967753092448,0.5279628457648058,32.67945861816406
validation_h6_rrelu_d128_a1000_g2,24,3,74.13499704996745,0.18845277910645422,40.74471918741862
validation_h6_rrelu_d128_a1000_g2,72,3,77.52084096272786,0.27989519217886843,45.25073496500651
validation_h6_rrelu_d128_a100_g0,6,3,66.90198262532552,0.4811640976480306,33.299296061197914
validation_h6_rrelu_d128_a100_g0,24,3,74.13499704996745,0.18845277910645422,40.74471918741862
validation_h6_rrelu_d128_a100_g0,72,3,77.52084096272786,0.27989519217886843,45.25073496500651
validation_h6_rrelu_d128_a100_g2,6,3,66.70681508382161,0.3337373247080234,33.39205805460612
validation_h6_rrelu_d128_a100_g2,24,3,74.13499704996745,0.18845277910645422,40.74471918741862
validation_h6_rrelu_d128_a100_g2,72,3,77.52084096272786,0.27989519217886843,45.25073496500651
validation_h6_rrelu_d128_a10_g0,6,3,67.85479736328125,0.21912120916993597,34.8593495686849
validation_h6_rrelu_d128_a10_g0,24,3,74.13499704996745,0.18845277910645422,40.74471918741862
validation_h6_rrelu_d128_a10_g0,72,3,77.52084096272786,0.27989519217886843,45.25073496500651
validation_h6_rrelu_d128_a10_g2,6,3,68.49399820963542,0.35158971015061524,35.80251820882162
validation_h6_rrelu_d128_a10_g2,24,3,74.13499704996745,0.18845277910645422,40.74471918741862
validation_h6_rrelu_d128_a10_g2,72,3,77.52084096272786,0.27989519217886843,45.25073496500651
validation_h6_rrelu_d256_a1000_g0,6,3,66.45200093587239,0.2916769176760636,33.00768534342448
validation_h6_rrelu_d256_a1000_g0,24,3,74.13499704996745,0.18845277910645422,40.74471918741862
validation_h6_rrelu_d256_a1000_g0,72,3,77.52084096272786,0.27989519217886843,45.25073496500651
validation_h6_rrelu_d256_a1000_g2,6,3,66.38290913899739,0.4717873753908929,32.809120178222656
validation_h6_rrelu_d256_a1000_g2,24,3,74.13499704996745,0.18845277910645422,40.74471918741862
validation_h6_rrelu_d256_a1000_g2,72,3,77.52084096272786,0.27989519217886843,45.25073496500651
validation_h6_rrelu_d256_a100_g0,6,3,66.96062469482422,0.4322159724563922,33.555642445882164
validation_h6_rrelu_d256_a100_g0,24,3,74.13499704996745,0.18845277910645422,40.74471918741862
validation_h6_rrelu_d256_a100_g0,72,3,77.52084096272786,0.27989519217886843,45.25073496500651
validation_h6_rrelu_d256_a100_g2,6,3,66.87823740641277,0.2640320212766569,33.65304438273112
validation_h6_rrelu_d256_a100_g2,24,3,74.13499704996745,0.18845277910645422,40.74471918741862
validation_h6_rrelu_d256_a100_g2,72,3,77.52084096272786,0.27989519217886843,45.25073496500651
validation_h6_rrelu_d256_a10_g0,6,3,69.04467010498047,1.077901208384151,35.81387201944987
validation_h6_rrelu_d256_a10_g0,24,3,74.13499704996745,0.18845277910645422,40.74471918741862
validation_h6_rrelu_d256_a10_g0,72,3,77.52084096272786,0.27989519217886843,45.25073496500651
validation_h6_rrelu_d256_a10_g2,6,3,71.41999053955078,2.520585523276717,37.34774525960287
validation_h6_rrelu_d256_a10_g2,24,3,74.13499704996745,0.18845277910645422,40.74471918741862
validation_h6_rrelu_d256_a10_g2,72,3,77.52084096272786,0.27989519217886843,45.25073496500651
validation_h6_rrelu_d32_a1000_g0,6,3,66.2378641764323,0.16357832026914237,33.374139149983726
validation_h6_rrelu_d32_a1000_g0,24,3,74.13499704996745,0.18845277910645422,40.74471918741862
validation_h6_rrelu_d32_a1000_g0,72,3,77.52084096272786,0.27989519217886843,45.25073496500651
validation_h6_rrelu_d32_a1000_g2,6,3,66.21115620930989,0.4762056998314152,32.760782877604164
validation_h6_rrelu_d32_a1000_g2,24,3,74.13499704996745,0.18845277910645422,40.74471918741862
validation_h6_rrelu_d32_a1000_g2,72,3,77.52084096272786,0.27989519217886843,45.25073496500651
validation_h6_rrelu_d32_a100_g0,6,3,66.9211196899414,0.7886276271688356,33.590721130371094
validation_h6_rrelu_d32_a100_g0,24,3,74.13499704996745,0.18845277910645422,40.74471918741862
validation_h6_rrelu_d32_a100_g0,72,3,77.52084096272786,0.27989519217886843,45.25073496500651
validation_h6_rrelu_d32_a100_g2,6,3,66.72514343261719,0.8044735917660696,33.54154713948568
validation_h6_rrelu_d32_a100_g2,24,3,74.13499704996745,0.18845277910645422,40.74471918741862
validation_h6_rrelu_d32_a100_g2,72,3,77.52084096272786,0.27989519217886843,45.25073496500651
validation_h6_rrelu_d32_a10_g0,6,3,67.64669545491536,0.7767178024285184,34.74399058024088
validation_h6_rrelu_d32_a10_g0,24,3,74.13499704996745,0.18845277910645422,40.74471918741862
validation_h6_rrelu_d32_a10_g0,72,3,77.52084096272786,0.27989519217886843,45.25073496500651
validation_h6_rrelu_d32_a10_g2,6,3,67.41044362386067,0.7500222918964075,34.497535705566406
validation_h6_rrelu_d32_a10_g2,24,3,74.13499704996745,0.18845277910645422,40.74471918741862
validation_h6_rrelu_d32_a10_g2,72,3,77.52084096272786,0.27989519217886843,45.25073496500651
validation_h6_rrelu_d64_a1000_g0,6,3,66.25910949707031,0.2880466827423816,33.26644643147787
