model,label,seed,horizon,RMSE,MAE,R2,sMAPE,n
hybrid8_sarima,Hybrid8 + ARIMA/SARIMA,,6,77.2080307006836,39.442447662353516,0.2906628169906238,47.69276809692383,4459
hybrid8_sarima,Hybrid8 + ARIMA/SARIMA,,24,81.59490966796875,49.098045349121094,0.3712174028655084,52.59260559082031,4569
hybrid8_sarima,Hybrid8 + ARIMA/SARIMA,,72,84.3816146850586,53.33860397338867,0.3280421513205688,57.713191986083984,4566
hybrid8_transformer,Hybrid8 + Transformer,42.0,6,68.42029571533203,34.72249984741211,0.44294555725032103,45.71202087402344,4459
hybrid8_transformer,Hybrid8 + Transformer,42.0,24,78.34620666503906,44.97453689575195,0.42029062377940063,53.15606689453125,4569
hybrid8_transformer,Hybrid8 + Transformer,42.0,72,81.00505065917969,49.78459167480469,0.38074345515196817,58.196170806884766,4566
hybrid8_transformer,Hybrid8 + Transformer,43.0,6,68.5291976928711,36.0095100402832,0.441170857021533,47.04778289794922,4459
hybrid8_transformer,Hybrid8 + Transformer,43.0,24,78.52449035644531,45.40452575683594,0.4176492922218654,49.65840530395508,4569
hybrid8_transformer,Hybrid8 + Transformer,43.0,72,82.89599609375,51.05194854736328,0.3514946973951564,53.61931228637695,4566
hybrid8_transformer,Hybrid8 + Transformer,44.0,6,68.89082336425781,34.65668487548828,0.4352574134604802,46.50847625732422,4459
hybrid8_transformer,Hybrid8 + Transformer,44.0,24,78.06888580322266,44.19427490234375,0.42438733146426943,49.21358871459961,4569
hybrid8_transformer,Hybrid8 + Transformer,44.0,72,81.57953643798828,48.45491027832031,0.3719288052019324,58.45308303833008,4566
hybrid8_masked_transformer,Hybrid8 + mask + Transformer,42.0,6,68.42029571533203,34.72249984741211,0.44294555725032103,45.71202087402344,4459
hybrid8_masked_transformer,Hybrid8 + mask + Transformer,42.0,24,78.34620666503906,44.97453689575195,0.42029062377940063,53.15606689453125,4569
hybrid8_masked_transformer,Hybrid8 + mask + Transformer,42.0,72,81.00505065917969,49.78459167480469,0.38074345515196817,58.196170806884766,4566
hybrid8_masked_transformer,Hybrid8 + mask + Transformer,43.0,6,68.5291976928711,36.0095100402832,0.441170857021533,47.04778289794922,4459
