dataset,model,label,seed,horizon,RMSE,MAE,R2,n
Dhaka,hybrid8_masked_proposed,Hybrid8 + mask + MAT,42,6,68.96906280517578,35.71162414550781,0.4339739568305544,4459
Dhaka,hybrid8_masked_proposed,Hybrid8 + mask + MAT,42,24,79.39718627929688,45.55049514770508,0.40463317609340077,4569
Dhaka,hybrid8_masked_proposed,Hybrid8 + mask + MAT,42,72,82.04268646240234,50.552146911621094,0.36477706588785286,4566
Dhaka,hybrid8_masked_proposed,Hybrid8 + mask + MAT,43,6,67.60694122314453,35.30580139160156,0.4561109283980964,4459
Dhaka,hybrid8_masked_proposed,Hybrid8 + mask + MAT,43,24,77.06791687011719,44.318397521972656,0.4390532927946893,4569
Dhaka,hybrid8_masked_proposed,Hybrid8 + mask + MAT,43,72,83.12849426269531,51.73971939086914,0.3478519029016939,4566
Dhaka,hybrid8_masked_proposed,Hybrid8 + mask + MAT,44,6,69.10477447509766,36.568504333496094,0.43174414641407655,4459
Dhaka,hybrid8_masked_proposed,Hybrid8 + mask + MAT,44,24,83.7216567993164,51.19754409790039,0.33801213910359673,4569
Dhaka,hybrid8_masked_proposed,Hybrid8 + mask + MAT,44,72,82.88677215576172,53.23585891723633,0.3516390467026228,4566
Dhaka,hybrid8_masked_variant_B,Hybrid8 + mask + MAT variant B,42,6,68.82353973388672,35.0767822265625,0.43636004291603137,4459
Dhaka,hybrid8_masked_variant_B,Hybrid8 + mask + MAT variant B,42,24,77.70795440673828,43.98451614379883,0.42969736246356594,4569
Dhaka,hybrid8_masked_variant_B,Hybrid8 + mask + MAT variant B,42,72,80.41549682617188,48.81024169921875,0.38972461111874934,4566
Dhaka,hybrid8_masked_variant_B,Hybrid8 + mask + MAT variant B,43,6,67.75270080566406,35.076019287109375,0.4537631640101404,4459
Dhaka,hybrid8_masked_variant_B,Hybrid8 + mask + MAT variant B,43,24,75.78414154052734,43.69778823852539,0.45758581526694686,4569
Dhaka,hybrid8_masked_variant_B,Hybrid8 + mask + MAT variant B,43,72,81.86817169189453,50.33590316772461,0.36747658808833816,4566
Dhaka,hybrid8_masked_variant_B,Hybrid8 + mask + MAT variant B,44,6,67.59647369384766,34.372581481933594,0.4562792663284323,4459
Dhaka,hybrid8_masked_variant_B,Hybrid8 + mask + MAT variant B,44,24,77.3551254272461,46.33742141723633,0.434864518224365,4569
Dhaka,hybrid8_masked_variant_B,Hybrid8 + mask + MAT variant B,44,72,78.56993865966797,47.8642463684082,0.4174151238886612,4566
Dhaka,hybrid8_masked_proposed_md,Hybrid8 + mask + MAT + miss-dropout,42,6,69.3883285522461,37.577964782714844,0.42707130109421787,4459
Dhaka,hybrid8_masked_proposed_md,Hybrid8 + mask + MAT + miss-dropout,42,24,79.51829528808594,46.11406707763672,0.4028155682416126,4569
Dhaka,hybrid8_masked_proposed_md,Hybrid8 + mask + MAT + miss-dropout,42,72,81.11280822753906,48.86185073852539,0.3790948471678972,4566
Dhaka,hybrid8_masked_proposed_md,Hybrid8 + mask + MAT + miss-dropout,43,6,70.3771743774414,39.55869674682617,0.4106254218455665,4459
Dhaka,hybrid8_masked_proposed_md,Hybrid8 + mask + MAT + miss-dropout,43,24,80.5085678100586,51.15781021118164,0.38784897359685433,4569
Dhaka,hybrid8_masked_proposed_md,Hybrid8 + mask + MAT + miss-dropout,43,72,81.9769058227539,52.56659698486328,0.3657953237603673,4566
Dhaka,hybrid8_masked_proposed_md,Hybrid8 + mask + MAT + miss-dropout,44,6,67.37879180908203,35.12297439575195,0.459775614185262,4459
Dhaka,hybrid8_masked_proposed_md,Hybrid8 + mask + MAT + miss-dropout,44,24,77.73886108398438,45.57172775268555,0.42924360128944905,4569
Dhaka,hybrid8_masked_proposed_md,Hybrid8 + mask + MAT + miss-dropout,44,72,80.83351135253906,48.27880096435547,0.3833634860242009,4566
Delhi,hybrid8_masked_proposed,Hybrid8 + mask + MAT,42,6,28.516611099243164,20.713346481323242,-0.36510753294554377,540
Delhi,hybrid8_masked_proposed,Hybrid8 + mask + MAT,42,24,31.701723098754883,24.892316818237305,-0.7732577920112662,540
Delhi,hybrid8_masked_proposed,Hybrid8 + mask + MAT,42,72,33.37648391723633,27.0705623626709,-0.948728612034984,540
Delhi,hybrid8_masked_proposed,Hybrid8 + mask + MAT,43,6,33.32773208618164,27.137300491333008,-0.864586293266512,540
Delhi,hybrid8_masked_proposed,Hybrid8 + mask + MAT,43,24,28.82335090637207,22.25139808654785,-0.46586886475222533,540
Delhi,hybrid8_masked_proposed,Hybrid8 + mask + MAT,43,72,44.57371139526367,37.07708740234375,-2.4755842772224868,540
Delhi,hybrid8_masked_proposed,Hybrid8 + mask + MAT,44,6,35.51276397705078,28.43335723876953,-1.1170930379068653,540
Delhi,hybrid8_masked_proposed,Hybrid8 + mask + MAT,44,24,39.430171966552734,29.814815521240234,-1.743238060540612,540
Delhi,hybrid8_masked_proposed,Hybrid8 + mask + MAT,44,72,43.768096923828125,34.90442657470703,-2.3510856640273605,540
Delhi,hybrid8_masked_variant_B,Hybrid8 + mask + MAT variant B,42,6,28.516611099243164,20.713346481323242,-0.36510743579901894,540
Delhi,hybrid8_masked_variant_B,Hybrid8 + mask + MAT variant B,42,24,31.701723098754883,24.892316818237305,-0.7732577920112662,540
Delhi,hybrid8_masked_variant_B,Hybrid8 + mask + MAT variant B,42,72,33.37648391723633,27.0705623626709,-0.948728612034984,540
Delhi,hybrid8_masked_variant_B,Hybrid8 + mask + MAT variant B,43,6,33.32773208618164,27.137300491333008,-0.864586293266512,540
Delhi,hybrid8_masked_variant_B,Hybrid8 + mask + MAT variant B,43,24,28.82335090637207,22.25139808654785,-0.46586886475222533,540
Delhi,hybrid8_masked_variant_B,Hybrid8 + mask + MAT variant B,43,72,44.57371520996094,37.07708740234375,-2.4755846821585767,540
Delhi,hybrid8_masked_variant_B,Hybrid8 + mask + MAT variant B,44,6,35.51276397705078,28.433359146118164,-1.117093232199915,540
Delhi,hybrid8_masked_variant_B,Hybrid8 + mask + MAT variant B,44,24,39.43016815185547,29.814815521240234,-1.7432378563233626,540
Delhi,hybrid8_masked_variant_B,Hybrid8 + mask + MAT variant B,44,72,43.76809310913086,34.904422760009766,-2.3510854615593155,540
Delhi,hybrid8_masked_proposed_md,Hybrid8 + mask + MAT + miss-dropout,42,6,27.867090225219727,20.348665237426758,-0.3036297147515734,540
Delhi,hybrid8_masked_proposed_md,Hybrid8 + mask + MAT + miss-dropout,42,24,30.509910583496094,23.127227783203125,-0.6424344860852493,540
Delhi,hybrid8_masked_proposed_md,Hybrid8 + mask + MAT + miss-dropout,42,72,35.04093551635742,27.560604095458984,-1.1479373264216144,540
Delhi,hybrid8_masked_proposed_md,Hybrid8 + mask + MAT + miss-dropout,43,6,28.50455665588379,21.45115089416504,-0.36395362652348817,540
Delhi,hybrid8_masked_proposed_md,Hybrid8 + mask + MAT + miss-dropout,43,24,33.99456787109375,28.710847854614258,-1.039037556777501,540
Delhi,hybrid8_masked_proposed_md,Hybrid8 + mask + MAT + miss-dropout,43,72,34.30079650878906,27.82963752746582,-1.0581575286426483,540
Delhi,hybrid8_masked_proposed_md,Hybrid8 + mask + MAT + miss-dropout,44,6,24.20892906188965,17.540740966796875,0.01616527887998609,540
Delhi,hybrid8_masked_proposed_md,Hybrid8 + mask + MAT + miss-dropout,44,24,30.910587310791016,23.221172332763672,-0.6858567914284301,540
Delhi,hybrid8_masked_proposed_md,Hybrid8 + mask + MAT + miss-dropout,44,72,33.76095962524414,27.10053825378418,-0.9938834403613164,540
Beijing,hybrid8_masked_proposed,Hybrid8 + mask + MAT,42,6,49.42648696899414,30.206056594848633,0.6344217265709655,4282
Beijing,hybrid8_masked_proposed,Hybrid8 + mask + MAT,42,24,76.11373901367188,53.62485885620117,0.2826148053650068,4295
Beijing,hybrid8_masked_proposed,Hybrid8 + mask + MAT,42,72,87.15281677246094,59.548221588134766,0.05612125241905441,4294
Beijing,hybrid8_masked_proposed,Hybrid8 + mask + MAT,43,6,49.86343765258789,30.538949966430664,0.6279294178184089,4282
Beijing,hybrid8_masked_proposed,Hybrid8 + mask + MAT,43,24,76.08342742919922,51.327823638916016,0.2831861249379264,4295
Beijing,hybrid8_masked_proposed,Hybrid8 + mask + MAT,43,72,87.76399993896484,59.88658905029297,0.04283645027391836,4294
Beijing,hybrid8_masked_proposed,Hybrid8 + mask + MAT,44,6,49.13935470581055,30.56513786315918,0.6386568559673681,4282
Beijing,hybrid8_masked_proposed,Hybrid8 + mask + MAT,44,24,77.4140853881836,52.79087448120117,0.25789341303360547,4295
Beijing,hybrid8_masked_proposed,Hybrid8 + mask + MAT,44,72,86.23628997802734,60.42964172363281,0.07586911743494917,4294
Beijing,hybrid8_masked_variant_B,Hybrid8 + mask + MAT variant B,42,6,49.28971862792969,30.112932205200195,0.6364421026925045,4282
Beijing,hybrid8_masked_variant_B,Hybrid8 + mask + MAT variant B,42,24,76.09954833984375,53.74165344238281,0.28288224381668226,4295
Beijing,hybrid8_masked_variant_B,Hybrid8 + mask + MAT variant B,42,72,87.23965454101562,59.585899353027344,0.054239373350592146,4294
Beijing,hybrid8_masked_variant_B,Hybrid8 + mask + MAT variant B,43,6,49.80696105957031,30.575702667236328,0.6287717887108462,4282
Beijing,hybrid8_masked_variant_B,Hybrid8 + mask + MAT variant B,43,24,76.10035705566406,51.306888580322266,0.282867078591846,4295
Beijing,hybrid8_masked_variant_B,Hybrid8 + mask + MAT variant B,43,72,87.92185974121094,59.940834045410156,0.03939010078592786,4294
Beijing,hybrid8_masked_variant_B,Hybrid8 + mask + MAT variant B,44,6,49.09843826293945,30.550785064697266,0.6392584046800931,4282
Beijing,hybrid8_masked_variant_B,Hybrid8 + mask + MAT variant B,44,24,76.73369598388672,52.731693267822266,0.27088090005090437,4295
Beijing,hybrid8_masked_variant_B,Hybrid8 + mask + MAT variant B,44,72,85.78416442871094,60.48754119873047,0.08553387509657118,4294
Beijing,hybrid8_masked_proposed_md,Hybrid8 + mask + MAT + miss-dropout,42,6,50.75412368774414,32.057010650634766,0.6145184426594736,4282
Beijing,hybrid8_masked_proposed_md,Hybrid8 + mask + MAT + miss-dropout,42,24,76.26167297363281,54.06415939331055,0.27982353905835367,4295
Beijing,hybrid8_masked_proposed_md,Hybrid8 + mask + MAT + miss-dropout,42,72,86.92394256591797,59.82743453979492,0.061072283279463346,4294
Beijing,hybrid8_masked_proposed_md,Hybrid8 + mask + MAT + miss-dropout,43,6,52.01539611816406,33.939308166503906,0.5951215108829189,4282
