model,seed,pollutant,horizon,RMSE,MAE,R2,sMAPE,n
persistence,,PM2.5,6,93.90119934082031,43.03852462768555,-0.049228436919870555,42.15486526489258,4459.0
persistence,,PM2.5,24,99.01581573486328,47.03803253173828,0.07405848690492212,43.836463928222656,4569.0
persistence,,PM2.5,72,105.13416290283203,56.0800666809082,-0.04311960183401342,54.257328033447266,4566.0
persistence,,PM10,6,130.32276916503906,77.54588317871094,-0.17530635540505002,48.48037338256836,3707.0
persistence,,PM10,24,124.98958587646484,75.37078094482422,0.38243793318511576,43.13914108276367,3807.0
persistence,,PM10,72,144.8756103515625,92.0087890625,0.17220116875481706,54.09199523925781,3797.0
persistence,,NO2,6,13.849297523498535,4.0290141105651855,0.6045382000151072,31.043737411499023,3702.0
persistence,,NO2,24,15.259916305541992,4.554609298706055,0.6135613467731238,34.116302490234375,3819.0
persistence,,NO2,72,18.57500648498535,5.707443714141846,0.4173253089527015,41.121543884277344,3817.0
persistence,,O3,6,10.050458908081055,3.3787901401519775,0.6728889318232185,36.78723907470703,3633.0
persistence,,O3,24,13.621150970458984,4.772158145904541,0.49002592302628667,45.55756378173828,3639.0
persistence,,O3,72,15.341530799865723,5.758396148681641,0.34144506898116966,53.82158660888672,3633.0
persistence,,CO,6,1.2763042449951172,0.5262070894241333,0.7771960758733205,30.06104278564453,3950.0
persistence,,CO,24,2.117769718170166,0.6823126673698425,0.37761325270199675,31.317720413208008,4017.0
persistence,,CO,72,2.9106533527374268,0.9122588634490967,-0.1982949444611355,38.389854431152344,4021.0
persistence,,SO2,6,22.168413162231445,4.564878463745117,0.28404649546234273,42.34562683105469,3871.0
persistence,,SO2,24,25.4533748626709,5.625589847564697,0.0703892420167348,44.606849670410156,3948.0
persistence,,SO2,72,32.299381256103516,7.269221782684326,-0.45086233507386764,52.63608169555664,3950.0
seasonal_naive,,PM2.5,6,90.59310150146484,41.90303039550781,0.023397050894523375,45.93860626220703,4459.0
seasonal_naive,,PM2.5,24,93.67051696777344,44.581199645996094,0.17133271178194853,43.01814270019531,4569.0
seasonal_naive,,PM2.5,72,102.1822280883789,53.29752731323242,0.014635085198747788,52.22550582885742,4566.0
seasonal_naive,,PM10,6,105.51609802246094,55.30921173095703,0.2295438683108766,43.48189926147461,3707.0
seasonal_naive,,PM10,24,122.86021423339844,74.21463775634766,0.40330080454182515,42.630104064941406,3807.0
seasonal_naive,,PM10,72,141.77853393554688,89.6727523803711,0.20721528480348672,52.29670333862305,3797.0
seasonal_naive,,NO2,6,15.162426948547363,4.021401882171631,0.5259911104551531,30.939462661743164,3702.0
seasonal_naive,,NO2,24,15.455636978149414,4.516112804412842,0.6035850051324234,33.6660270690918,3819.0
seasonal_naive,,NO2,72,17.959060668945312,5.527637481689453,0.45532741205097205,40.25597381591797,3817.0
seasonal_naive,,O3,6,10.034947395324707,3.852695941925049,0.673897851430209,41.4700813293457,3633.0
seasonal_naive,,O3,24,13.359411239624023,4.698288440704346,0.5094366103830331,45.47907257080078,3639.0
seasonal_naive,,O3,72,15.12753677368164,5.663228988647461,0.35968891685050575,53.193145751953125,3633.0
seasonal_naive,,CO,6,1.802314043045044,0.5118197798728943,0.5557009852586222,27.825397491455078,3950.0
seasonal_naive,,CO,24,2.137007236480713,0.6793702244758606,0.3662545495470998,31.050649642944336,4017.0
seasonal_naive,,CO,72,2.9490644931793213,0.904064416885376,-0.2301309014315951,37.53949737548828,4021.0
seasonal_naive,,SO2,6,25.558408737182617,4.126916408538818,0.048336850955440824,40.727386474609375,3871.0
