month,SO2,NO,NO2,NOX,CO,O3,PM10,PM2.5,WS,WD,Temp,RH,BP,SR,Rain,VWS
1,40.3,31.2,37.5,27.2,37.7,37.7,28.5,18.8,45.1,41.2,33.1,33.8,47.8,46.1,85.1,76.2
2,44.2,30.0,30.8,24.6,37.8,37.9,29.7,19.9,45.0,41.1,35.2,33.2,48.0,48.6,86.9,78.8
3,38.3,26.8,30.0,18.1,39.9,33.1,28.5,17.1,40.5,36.9,35.3,32.2,46.7,48.0,87.6,80.7
4,47.6,34.8,39.0,29.6,47.5,49.4,32.7,25.2,46.2,42.7,44.5,38.7,54.5,50.2,91.4,82.8
5,49.9,39.2,45.2,36.6,50.4,46.9,35.9,26.7,45.8,43.7,45.3,39.2,53.2,49.9,92.0,85.3
6,41.8,32.6,37.1,29.4,44.2,40.9,31.0,24.3,37.4,35.9,40.8,37.0,50.9,44.3,88.5,86.6
7,41.4,34.5,44.5,33.0,37.9,39.0,30.7,28.2,31.2,29.8,33.7,30.4,47.1,37.7,80.3,84.9
8,40.4,28.8,36.4,26.8,35.9,45.6,32.1,29.0,38.9,34.4,39.5,32.3,47.6,38.0,80.5,83.4
9,40.0,30.6,34.1,27.8,37.5,40.6,34.5,30.0,43.1,37.6,37.3,31.1,45.9,42.3,83.8,85.9
10,43.8,34.3,37.0,30.3,34.2,39.8,36.8,27.3,40.7,37.6,34.8,29.0,46.2,42.9,84.8,85.3
11,40.1,32.7,41.7,31.0,34.8,35.5,36.8,20.0,43.5,39.9,31.8,25.0,44.8,43.9,82.7,85.6
12,40.5,37.4,41.3,35.1,35.1,36.9,36.4,18.3,44.1,42.2,32.5,27.5,46.5,45.3,79.5,86.1
