candidate,baseline,horizon,seeds,n,RMSE_diff_mean_candidate_minus_baseline,CI_lo_min,CI_hi_max,DM_p_median,DM_p_min,DM_p_max,directional_win,significant_all_seeds,per_seed_RMSE_diff,per_seed_DM_p
variant_B_dual_input_ridge,lstm,6,3,4459,-0.9246571858723959,-3.191312789916992,1.540543746948242,0.39668126928843384,0.013120099841974486,0.7706364912471446,True,False,42:-0.6586;43:-1.8535;44:-0.2619,42:0.396681;43:0.0131201;44:0.770636
variant_B_dual_input_ridge,lstm,24,3,4569,-2.9726689656575522,-4.96478385925293,-0.7210386276245124,0.004588914330283522,3.434175852556898e-05,0.005646159713464716,True,True,42:-2.6244;43:-3.5210;44:-2.7726,42:0.00458891;43:3.43418e-05;44:0.00564616
variant_B_dual_input_ridge,lstm,72,3,4566,-1.619110107421875,-4.489297676086426,1.5896499633789059,0.031420817312658444,4.042412241123117e-05,0.7687771338543805,True,False,42:-1.4504;43:-0.2663;44:-3.1406,42:0.0314208;43:0.768777;44:4.04241e-05
variant_B_dual_input_ridge,gru,6,3,4459,-0.413726806640625,-2.727387046813965,1.8868992805480955,0.7019338741820742,0.017580743222610717,0.9727791890490614,True,False,42:-0.0215;43:-1.5179;44:+0.2982,42:0.972779;43:0.0175807;44:0.701934
variant_B_dual_input_ridge,gru,24,3,4569,-1.3760528564453125,-3.2388044357299806,0.6474681854248043,0.1557837444777581,0.017093013548681535,0.2166404460348239,True,False,42:-1.0349;43:-1.7260;44:-1.3673,42:0.21664;43:0.017093;44:0.155784
variant_B_dual_input_ridge,gru,72,3,4566,-0.24944051106770834,-2.6481861114501952,3.000724220275878,0.06591796469020639,0.03319158112778098,0.14032086522147513,True,False,42:-0.7836;43:+1.4367;44:-1.4014,42:0.140321;43:0.065918;44:0.0331916
variant_B_dual_input_ridge,gru_d,6,3,4459,-1.609845479329427,-3.217999744415283,0.29956130981445306,0.0051188647087430095,0.0014399393171742325,0.11072021155429379,True,False,42:-1.9852;43:-1.7313;44:-1.1130,42:0.00143994;43:0.00511886;44:0.11072
variant_B_dual_input_ridge,gru_d,24,3,4569,-1.6111068725585938,-4.212281227111816,0.5962354660034173,0.06428600392230166,0.029750847192169028,0.1797368887258941,True,False,42:-1.0940;43:-1.7277;44:-2.0116,42:0.179737;43:0.0297508;44:0.064286
variant_B_dual_input_ridge,gru_d,72,3,4566,-1.2819798787434895,-3.405593681335449,1.710230827331543,0.008645668359353209,0.004982246547667213,0.962225725969676,True,False,42:-1.8243;43:-0.0430;44:-1.9786,42:0.00498225;43:0.962226;44:0.00864567
variant_B_dual_input_ridge,dlinear,6,3,4459,-3.231109619140625,-5.494024276733398,-0.9734931945800782,1.5316727401071262e-05,1.313794684487668e-05,0.0013421860735720603,True,True,42:-2.3993;43:-3.5125;44:-3.7816,42:0.00134219;43:1.31379e-05;44:1.53167e-05
variant_B_dual_input_ridge,dlinear,24,3,4569,-5.821866353352864,-10.550987815856933,-1.6464338302612314,3.790389550717421e-05,4.0847192295245804e-10,0.0020553805610448173,True,True,42:-5.0316;43:-8.2034;44:-4.2305,42:3.79039e-05;43:4.08472e-10;44:0.00205538
variant_B_dual_input_ridge,dlinear,72,3,4566,-4.228220621744792,-7.041094017028809,-1.1354557037353525,3.5049614912630034e-06,3.4224001608240684e-06,0.004115493288161298,True,True,42:-4.5947;43:-3.2019;44:-4.8881,42:3.50496e-06;43:0.00411549;44:3.4224e-06
variant_B_dual_input_ridge,patchtst,6,3,4459,-7.3267771402994795,-11.85826072692871,-4.297814464569092,2.2388757514590907e-12,2.162714451969805e-13,2.5662207914223245e-09,True,True,42:-6.4323;43:-9.2855;44:-6.2626,42:2.16271e-13;43:2.23888e-12;44:2.56622e-09
variant_B_dual_input_ridge,patchtst,24,3,4569,-9.266942342122396,-12.82850341796875,-5.321338653564454,0.0,0.0,4.1844749887332e-10,True,True,42:-9.4064;43:-10.9728;44:-7.4216,42:0;43:0;44:4.18447e-10
variant_B_dual_input_ridge,patchtst,72,3,4566,-8.184641520182291,-11.888052558898925,-5.668501091003418,7.105427357601002e-15,0.0,4.6378945128822124e-10,True,True,42:-9.6795;43:-7.9196;44:-6.9548,42:7.10543e-15;43:4.63789e-10;44:0
variant_B_dual_input_ridge,two_stage_knn,6,3,4459,0.3290252685546875,-1.2370923995971679,1.8180062294006347,0.5330698213347698,0.2375626097103134,0.9470761321274359,False,False,42:+0.3171;43:+0.6264;44:+0.0435,42:0.53307;43:0.237563;44:0.947076
variant_B_dual_input_ridge,two_stage_knn,24,3,4569,-1.342267354329427,-3.9650501251220702,0.994650268554687,0.03455215618066099,0.021893200082840014,0.6819217961853954,True,False,42:-0.2600;43:-1.7498;44:-2.0171,42:0.681922;43:0.0218932;44:0.0345522
variant_B_dual_input_ridge,two_stage_knn,72,3,4566,-1.618670145670573,-3.74007568359375,0.16972007751464813,0.007013734517077985,0.002118605162167997,0.12059055335761037,True,False,42:-1.7099;43:-2.2394;44:-0.9068,42:0.00211861;43:0.00701373;44:0.120591
