mode,model,horizon,0,10,30,50
miss,DLinear,6,69.73,71.57,74.35,79.13
miss,DLinear,24,80.34,80.28,81.84,85.0
miss,DLinear,72,83.06,83.11,85.64,89.31
miss,GRU-D,6,69.31,69.35,69.94,71.89
miss,GRU-D,24,76.41,77.13,77.31,76.93
miss,GRU-D,72,80.29,80.19,80.73,81.52
miss,PatchTST,6,73.76,75.64,81.46,86.26
miss,PatchTST,24,84.72,87.92,95.71,101.74
miss,PatchTST,72,88.14,91.9,98.62,104.02
miss,Proposed (MAT),6,66.78,67.68,69.96,72.68
miss,Proposed (MAT),24,77.11,77.44,78.33,78.47
miss,Proposed (MAT),72,80.74,80.72,81.17,81.56
miss,Proposed + miss-dropout,6,66.24,66.35,67.2,68.3
miss,Proposed + miss-dropout,24,77.3,77.27,77.51,76.73
miss,Proposed + miss-dropout,72,80.47,80.4,80.48,80.63
miss,Two-stage (KNN),6,67.01,67.41,68.95,70.15
miss,Two-stage (KNN),24,75.57,75.74,76.09,75.89
miss,Two-stage (KNN),72,80.17,80.13,79.55,79.25
miss,Two-stage (MICE),6,67.34,67.82,68.67,69.92
miss,Two-stage (MICE),24,76.03,76.08,75.91,75.47
miss,Two-stage (MICE),72,79.74,79.59,79.06,78.84
miss,Two-stage (SAITS),6,66.07,65.7,65.3,66.11
miss,Two-stage (SAITS),24,76.58,76.26,76.39,75.43
miss,Two-stage (SAITS),72,80.77,80.76,80.62,80.63
out,DLinear,6,69.73,72.14,74.87,78.82
out,DLinear,24,80.34,81.57,81.66,86.97
out,DLinear,72,83.06,83.57,85.45,88.36
out,GRU-D,6,69.31,70.72,72.58,74.32
out,GRU-D,24,76.41,77.19,79.09,79.48
out,GRU-D,72,80.29,80.78,81.21,83.07
out,PatchTST,6,73.76,75.89,78.12,82.66
out,PatchTST,24,84.72,86.4,88.61,93.72
out,PatchTST,72,88.14,89.17,92.07,96.1
out,Proposed (MAT),6,66.78,67.79,68.14,69.84
out,Proposed (MAT),24,77.11,77.39,76.62,77.41
out,Proposed (MAT),72,80.74,80.55,81.1,80.6
out,Proposed + miss-dropout,6,66.24,67.04,67.56,68.28
out,Proposed + miss-dropout,24,77.3,77.41,77.03,77.38
out,Proposed + miss-dropout,72,80.47,80.16,80.62,80.18
out,Two-stage (KNN),6,67.01,68.29,68.75,70.48
out,Two-stage (KNN),24,75.57,76.0,75.64,77.19
out,Two-stage (KNN),72,80.17,79.83,79.83,79.97
out,Two-stage (MICE),6,67.34,68.38,68.48,70.39
out,Two-stage (MICE),24,76.03,76.49,75.82,77.62
out,Two-stage (MICE),72,79.74,79.41,79.5,79.86
out,Two-stage (SAITS),6,66.07,67.1,67.94,69.97
out,Two-stage (SAITS),24,76.58,76.79,75.86,76.68
out,Two-stage (SAITS),72,80.77,80.65,80.57,81.37
