baseline,horizon,seeds,n,DM_p_median,DM_p_min,DM_p_max,sig_all_seeds,RMSE_diff_mean,CI_lo_min,CI_hi_max
Persistence,6,3,4459,0.0,0.0,0.0,True,-26.8708,-34.2738,-20.4029
Persistence,24,3,4569,0.0,0.0,0.0,True,-22.5604,-29.5649,-15.5743
Persistence,72,3,4566,0.0,0.0,0.0,True,-23.5952,-31.1331,-15.5203
Seasonal-naive,6,3,4459,0.0,0.0,0.0,True,-23.5627,-31.0316,-16.8569
Seasonal-naive,24,3,4569,0.0,0.0,0.0,True,-17.2151,-24.1217,-11.0126
Seasonal-naive,72,3,4566,0.0,0.0,0.0,True,-20.6432,-28.0668,-12.8136
SARIMA,6,3,4459,0.0,0.0,0.0,True,-12.9248,-18.4477,-8.2
SARIMA,24,3,4569,0.0,0.0,0.0,True,-7.4096,-9.9891,-4.0954
SARIMA,72,3,4566,0.0,0.0,0.0056,True,-5.1964,-7.9659,-1.1826
LSTM,6,3,4459,0.1464,0.1114,0.172,False,-1.1728,-2.8887,0.4407
LSTM,24,3,4569,0.0418,0.0012,0.4638,False,-1.593,-3.5364,1.5077
LSTM,72,3,4566,0.0724,0.0154,0.3463,False,0.5936,-2.6992,4.2694
GRU,6,3,4459,0.3609,0.2202,0.48,False,-0.6618,-2.3843,0.8821
GRU,24,3,4569,0.4874,0.2741,0.872,False,0.0036,-2.3123,3.1448
GRU,72,3,4566,0.0661,0.0,0.5302,False,1.9632,-0.8267,5.6651
GRU-D,6,3,4459,0.0016,0.0001,0.1168,False,-1.858,-3.8724,0.206
GRU-D,24,3,4569,0.4919,0.0393,0.8736,False,-0.2315,-2.8623,3.0351
GRU-D,72,3,4566,0.5973,0.0047,0.8309,False,0.9307,-1.5481,4.3875
DLinear,6,3,4459,0.0,0.0,0.0001,True,-3.4792,-5.8058,-1.4805
DLinear,24,3,4569,0.0007,0.0,0.0158,True,-4.4422,-8.5781,-0.6282
DLinear,72,3,4566,0.0453,0.0075,0.5734,False,-2.0155,-5.1985,1.5859
PatchTST,6,3,4459,0.0,0.0,0.0,True,-7.5749,-11.2079,-5.4567
PatchTST,24,3,4569,0.0,0.0,0.0,True,-7.8873,-10.9881,-5.4192
PatchTST,72,3,4566,0.0,0.0,0.0001,True,-5.972,-9.355,-3.0924
Two-stage (KNN),6,3,4459,0.1275,0.0621,0.4115,False,0.0809,-1.6797,2.6041
Two-stage (KNN),24,3,4569,0.0418,0.0376,0.8906,False,0.0374,-2.7947,3.1441
Two-stage (KNN),72,3,4566,0.3251,0.1676,0.676,False,0.594,-1.2555,2.2177
Two-stage (MICE),6,3,4459,0.123,0.0663,0.5595,False,-0.3558,-1.6815,1.4591
Two-stage (MICE),24,3,4569,0.1909,0.0197,0.5771,False,-0.3546,-3.215,2.8545
Two-stage (MICE),72,3,4566,0.1244,0.0833,0.3811,False,0.882,-0.681,2.5176
Two-stage (SAITS),6,3,4459,0.0992,0.0412,0.376,False,-0.1944,-2.0045,1.3188
Two-stage (SAITS),24,3,4569,0.6446,0.3287,0.7929,False,0.1461,-1.2554,1.6716
Two-stage (SAITS),72,3,4566,0.9312,0.5828,0.9378,False,0.1057,-0.9072,1.4432
Proposed (variant B),6,3,4459,0.2751,0.0481,0.6766,False,-0.0068,-1.1583,1.8183
Proposed (variant B),24,3,4569,0.1696,0.1563,0.3381,False,0.4543,-0.4554,1.3341
Proposed (variant B),72,3,4566,0.0061,0.0002,0.02,True,1.2824,0.2594,2.6387
Proposed + miss-dropout,6,3,4459,0.0745,0.0568,0.1212,False,-0.4462,-2.1432,1.1143
Proposed + miss-dropout,24,3,4569,0.0,0.0,0.4033,False,-3.2356,-6.5345,0.251
Proposed + miss-dropout,72,3,4566,0.215,0.1073,0.2608,False,-0.0005,-2.1527,1.784
